"","fips","county_name","PercentMultiFamAssistPerHouseold","PercentLIHTCperHousehold","Percent_515Properties","PercentHudSec8Lost5Year","PercentLILost5Year","PercentUSDAsec515Lost5Year","X5YearPctChange","MultiFamHomeConstructPct","SingleFamHomeConstructPct","MedianValue","TypicalRenterCosts","TypicalOwnerCosts","AgingHousingStock","AffordabilityIndex","HousingPriceDispersion","CostBurdenOwner","CostBurdenRenter","HomeOwnerShipRate","RentalUnitRatio","MultiFamShare","DaysOnMarketUntilSale","InventoryOfHomesForSale","AverageEvictionFilingsPer1000Households","TotalPercentVacant","PercentVacant36Month","ZillowHousePriceIndex","ACSVacancyPercentage","EvictionFilings2021.2019","Pct_popchg_10yr","Pct_PK12_enrollchg_10yr","Ann_pct_emp_chg_2010.19","Pct_emp_chg_2019.20","Unemp_rate_2021","Pct_transfer_pmt_dependence","Prop_tax_capacity_ratio","Prop_tax_effort_ratio","Diversity_index","Gini_index_income_inequality_EST","Pct_prime_working_age_EST","Old_age_dependency_ratio_EST","Pct_language_barrier_EST","Pct_disability_EST","Pct_poverty_EST","Cluster"
"1",19001,"Adair County",1.0041841,0.892608089,3.542538354,0,0,0,26.02695764,0,2.933863749,111100,575,729,35.6,2.485069452,2.359612725,9.1,30.3,69.9,0.317376438,7.2,73,11,2.486788934,1.04724793,0.8037019,25.67887315,13.26503101,13.5,-0.0242124446758657,-0.164835164835165,0.00622141550636823,-0.00340642963593785,3.1,0.196679046217374,134.207410864265,129.667335868191,0.110343659628073,0.407,33.8,39.8,0.3,15.2,11.1,4
"2",19003,"Adams County",NA,0.63559322,0.423728814,0,0,0,27.8,0,0.217502559,81400,679,649,46.6,2.015300438,3.725531915,13.2,19.2,80.8,0.194837124,4.1,NA,2,0.826104915,5.024154589,3.47826087,NA,19.09497762,2,-0.0806651774633904,-0.182163187855787,0.00203908937838593,-0.0579584775086506,3,0.188427793542587,202.514178518696,145.38851538703,0.0971487831729402,0.4176,32.7,40.8,0.1,14.3,13.4,3
"3",19005,"Allamakee County",0.208659364,0.860719875,0.965049557,100,0,0,14.81632415,1.129943503,5.087014726,133400,629,681,29.2,3.072883074,2.879746835,11.2,42.6,80.1,0.222465108,9,34,18,1.725030188,1.763457969,1.07398568,22.74952117,23.91248721,17,-0.0187718073970691,-0.0412556053811659,-0.00257197438197931,-0.0369905956112853,4.6,0.203059717724695,109.362815215307,122.740619256484,0.214294852048756,0.4098,32.1,41.7,4.5,11.4,11.4,6
"4",19007,"Appanoose County",0.808753568,1.443070092,2.220107834,100,0,51.42857143,22.6486925,0,0.073899668,85000,661,636,35.6,2.035928144,3.166666667,15.1,50.5,72.4,0.32717475,11.7,37,50,3.50877193,6.593718914,3.964757709,19.49027029,21.73520108,24.5,-0.0442306200046558,-0.0730282375851996,-0.00274788259365399,-0.0178041543026706,4.3,0.311048110974993,69.5973968519029,123.699210324382,0.114063887354385,0.4936,33,42.5,0.9,18.3,19.7,3
"5",19009,"Audubon County",NA,NA,1.578758522,0,0,65.90909091,28.24056302,0,0.208038612,84300,606,557,42.3,2.122730592,3.037037037,5.4,42.5,75,0.271646228,3.7,41,8,1.067520683,2.596153846,1.25,21.31542342,9.939759036,3.5,-0.0727243013564308,-0.307594936708861,-0.00776389956460988,-0.0236666666666666,3.2,0.219186793068241,148.575250341516,139.705895714993,0.0791223880915973,0.3861,30.6,45.2,0.2,13.1,11.3,3
"6",19011,"Benton County",0.650054171,NA,1.236908631,0,0,4.379562044,24.89485374,3.37995338,1.130253484,158700,695,974,32.3,3.266641966,2.346718903,17,40.7,81.8,0.196584514,4.6,28,52,3.955131946,1.534086012,0.879082996,21.2641702,7.8752123,45.5,-0.0192130694891854,-0.0508735868448099,0.003856464717507,-0.026257574300279,4.5,0.16418653712053,107.932681897719,112.317282963881,0.112477454900915,0.3922,36,31.5,0.5,10.9,8.8,5
"7",19013,"Black Hawk County",1.635956898,1.647910654,0.092214689,33.61169102,52.33160622,0,13.73241364,98.41017488,12.1399177,150200,818,890,19,3.407982211,2.335410177,9.9,49.4,65.6,0.370079331,16.4,13,134,13.32153022,3.665640011,1.643713196,21.08640303,8.362692698,1072.5,0.00041193073460976,0.049288730829073,0.00269204907999354,-0.0466856774503699,4.6,0.208899934872035,73.0601081513992,89.9619717296089,0.389774217584104,0.4658,34.9,26.7,3.8,13.1,15.5,2
"8",19015,"Boone County",0.285210972,1.140843889,0.662696083,0,17.64705882,0,24.48323963,13.94422311,3.817541112,141000,747,947,37.3,3.115746674,2.370217166,12.5,35.3,78.2,0.246643829,12.2,33,48,4.522963908,3.887328221,1.526080024,23.56373172,10.11899809,80,0.0155477837755644,-0.0432900432900433,0.00012519406385935,-0.0359582613917874,3.5,0.200515867276977,105.572453588384,67.4033955375744,0.142037122566555,0.4074,37.2,30,0.7,13,7.2,5
"9",19017,"Bremer County",0.963372758,0.858450973,0.953834414,0,13.33333333,0,12.28125742,12.78118609,3.736898071,169000,677,913,31.6,3.212194937,2.306068602,8.4,39.3,83.1,0.189669421,10.3,15,24,0.863915958,1.643786127,0.532875723,19.41555125,7.835856422,22,0.0293293788103477,0.13245163837347,0.0051023359584832,-0.037623895893736,3.2,0.175871711857126,91.7331778396705,87.2490792736832,0.121726640729282,0.3753,33.9,34.1,0.8,11.1,7.1,5
"10",19019,"Buchanan County",NA,0.258834121,2.23947783,0,0,0,21.44447712,14.57541191,0.715672004,143200,691,801,27.6,3.236450753,2.224210526,7.7,31.3,80,0.230845895,7.9,36,20,3.537448158,1.322805578,0.687038556,22.86320941,11.91704159,41,-0.0187517892928715,0.0633802816901408,0.00412176206190717,-0.0206579954093343,3.7,0.181420049077893,95.6887896399997,111.44562357337,0.0940212211918245,0.4436,34.8,32.5,1,12.5,7.4,5
"11",19021,"Buena Vista County",1.498587397,3.083159317,0.417639111,13.1147541,0,0,23.38926667,0.668896321,1.168468783,120300,706,694,28.8,3.083982773,2.409150327,7.2,37.8,64.5,0.386471519,15.2,74,10,0.537129045,2.10453284,1.121646623,23.39849134,8.538350217,8,0.0277887462981243,0.196980589503954,0.00185593603516176,-0.0117195823567015,3.2,0.181637766516211,102.904649988903,123.205338411461,0.610395789592145,0.4013,34.1,25.6,19.3,9.8,10.9,2
"12",19023,"Butler County",NA,0.305997552,2.723378213,0,0,0,18.35744821,0.400801603,1.718695195,120100,628,733,39.2,2.64176675,2.351485149,11.5,40.2,77.3,0.259223143,5.2,44,17,1.112594571,0,0,20.86322451,9.567901235,9.5,-0.0358512140983386,-0.102145045965271,-0.00520385535228507,-0.0163762019230769,3.8,0.224162464649829,111.610026134421,111.728351758851,0.0790469527355012,0.4153,33.9,41,0.8,11.5,11.1,4
"13",19025,"Calhoun County",1.047998323,0.335359463,1.06895829,100,0,0,24.65032478,0,0.856246985,85600,591,581,33.1,1.994780015,2.895204263,5,42.3,78.7,0.236656105,8.6,50,21,0.327600328,3.974408686,2.09383482,23.73129694,19.67501958,1,0.0265770423991727,-0.167411823149528,-0.0108704676159044,-0.0324821246169561,3.9,0.215082326581496,147.582492164326,124.102946465051,0.128436224511463,0.4309,34,40.9,0.5,12.3,11.6,6
"14",19027,"Carroll County",0.305584826,1.296101159,1.970495258,20.68965517,0,0,18.65429918,0.71787509,0.578818848,138700,610,707,27.1,3.149838761,2.45272525,8.4,42.5,76.2,0.264940469,8.5,22,20,1.981858373,2.875399361,1.188099042,20.53847249,9.118604895,17.5,-0.00269023827824755,0.229981718464351,-0.00159027152706015,-0.0418687457793603,3.1,0.179009602596855,124.36023829513,77.3750254244504,0.124586150185068,0.4214,33.3,36.2,1.4,10.9,7.4,5
"15",19029,"Cass County",0.453266646,0.812753986,0.953422945,0,0,0,31.18941788,0.5,0.594227504,107200,633,691,41.2,2.494937976,2.599717115,12.2,38.8,72.7,0.306219285,10.4,40,17,1.317749513,3.138496977,0.863806507,19.69642685,10.36001823,18.5,-0.0594009744912583,0.232109049602423,-0.00341036995916244,-0.0241492864983535,3.7,0.246160029096906,134.116442138903,102.472585921185,0.118418846109918,0.4454,33,41.5,1.2,12.8,11.2,4
"16",19031,"Cedar County",0.183150183,0.293040293,1.501831502,0,0,0,21.78032125,25.96153846,4.192115491,163100,700,958,38.1,3.426830549,2.351247601,13.8,31,80.4,0.216407923,8.5,25,36,1.711877798,1.10974106,0.526846766,19.98866534,9.36438622,16.5,0.00032434185631657,-0.0627565982404692,0.00104468674026337,-0.0464240903387704,3.8,0.152000450500154,124.921406048531,103.645202306429,0.121237055117244,0.3704,35.9,33.5,0.6,10.5,7.4,5
"17",19033,"Cerro Gordo County",1.641375039,1.791797549,0.318541786,47.70889488,0,0,20.23706994,23.81756757,4.334284973,130400,711,796,30.4,2.769165428,2.690734055,10.5,41.7,69.6,0.31919597,13.6,84,143,3.415869053,4.797742239,2.212769438,22.69831372,13.02092649,59,-0.023193132658377,-0.00257953568357694,-0.00046061787875828,-0.0364942343619146,4.3,0.216702020167267,114.218253599321,91.7464845498158,0.226739580970223,0.4384,34.2,37.2,1.1,13.9,9.5,6
"18",19035,"Cherokee County",1.115509176,0.791651673,1.025548759,0,0,0,20.8539917,0.213903743,0.22564874,117400,536,633,38.3,2.572812342,2.884848485,6.5,40.7,73.7,0.268265056,7.5,33,9,1.996805112,3.627287854,1.381031614,25.41956361,7.621206836,10,-0.0342942345924453,-0.105686387133831,-0.0100524362747979,0.00414479137883395,3.4,0.178138982333958,147.555358795788,83.1303753048422,0.160003942050504,0.4284,32,43.8,0.1,10.8,11.8,4
"19",19037,"Chickasaw County",NA,NA,0.686664257,0,0,0,22.91687259,0.252844501,0.128132118,122000,638,712,33.8,2.746386925,2.427509294,8.8,32.3,82.1,0.200704915,4.9,34,14,1.526616222,2.280672549,0.815714999,20.25582409,10.43493511,11,-0.0343275182892515,-0.225466730493059,0.00405224680823135,-0.0314530803223291,3.6,0.167627326779798,125.036532843584,102.884106205961,0.132763964307421,0.4006,32.2,36.5,2.2,13.6,7.8,4
"20",19039,"Clarke County",1.593252109,2.249297095,3.233364574,100,0,0,26.86667163,0,1.006792235,115400,601,843,29.7,2.690102103,2.790436006,11.5,49.6,69.3,0.325316456,11.2,106,18,1.033324722,3.253750264,1.669131629,24.55304892,8.670520231,7,0.049752315313375,-0.093854748603352,0.00328727256716421,-0.0378532974427994,4.3,0.250354677713559,82.6185579826487,142.519145215945,0.328437183288884,0.4422,35.4,31.4,6,18.3,17.4,7
"21",19041,"Clay County",1.751140708,1.368849427,1.430509311,8.450704225,14.41441441,0,19.30196112,21.58119658,1.704427354,129700,693,838,28.6,2.977365594,2.459649123,18.9,49.1,67.5,0.353881588,14.1,49,49,3.50780024,2.450197081,1.257057633,19.46540817,10.98649301,25.5,-0.0169796604067919,-0.0203915171288744,-0.0037510631925024,-0.0194297249558415,3.6,0.195381919944916,125.431434024433,100.247920971158,0.156487792730331,0.4266,33.8,37.1,1.1,15.4,10.4,6
"22",19043,"Clayton County",0.11418132,0.17127198,1.050468143,100,0,0,15.25717112,0,1.186758276,131600,656,713,36.8,3.093849915,2.490589711,14.1,33.6,73.4,0.287055401,9.6,26,28,1.412622465,0,0,20.72195913,17.19040841,11.5,-0.0599040211815324,0.589808274470232,0.00169844710934797,-0.0435650753312761,5.1,0.211539714131688,110.399737628817,107.884660885668,0.105505983293639,0.4017,32.1,42.3,2.8,14,12.3,6
"23",19045,"Clinton County",0.831900358,1.673095692,0.106892225,11.17318436,10,0,20.91683261,24.93125573,2.628450667,120200,659,848,34.9,2.667258405,2.217280813,12.4,51.1,74.1,0.294295836,12.5,32,80,7.596366063,7.317283631,4.10734317,9.108792954,11.92457267,208.5,-0.0540760648261259,-0.0930735930735931,-0.0138469773992194,-0.0512955908422283,5.3,0.241406218980041,89.9825467150791,120.151280682702,0.209028097619697,0.43,35.4,34,0.7,14.1,13.7,7
"24",19047,"Crawford County",1.867250182,0.612691466,0.131291028,42.1875,0,0,20.270066,1.734104046,0.660338423,101100,643,689,40.1,2.441144513,2.928104575,7.9,42,69.4,0.318252974,9,57,24,1.811883826,1.962864721,0.74270557,21.47669221,9.620826259,22.5,-0.0333996256434254,-0.23445355914263,-0.00795710218418555,-0.0275684047496128,5.2,0.208520082150863,119.149954406034,109.868495447915,0.49714965222546,0.5001,33.5,29.2,15.8,15.1,18.7,7
