"","State_County_FIPS_Code","Year","Units","TotalUnits","PercentUSDA515Lost","id","county_name","state_code","state_fips","county_fips","class_fips"
"1",19001,"2032",24,127,18.8976377952756,84019001,"Adair County","IA",19,1,"H1"
"2",19001,"2047",80,127,62.992125984252,84019001,"Adair County","IA",19,1,"H1"
"3",19001,"8888",23,127,18.1102362204724,84019001,"Adair County","IA",19,1,"H1"
"4",19003,"8888",8,8,100,84019003,"Adams County","IA",19,3,"H1"
"5",19005,"2000",20,74,27.027027027027,84019005,"Allamakee County","IA",19,5,"H1"
"6",19005,"2010",6,74,8.10810810810811,84019005,"Allamakee County","IA",19,5,"H1"
"7",19005,"2044",24,74,32.4324324324324,84019005,"Allamakee County","IA",19,5,"H1"
"8",19005,"2045",24,74,32.4324324324324,84019005,"Allamakee County","IA",19,5,"H1"
"9",19007,"2001",10,140,7.14285714285714,84019007,"Appanoose County","IA",19,7,"H1"
"10",19007,"2023",72,140,51.4285714285714,84019007,"Appanoose County","IA",19,7,"H1"
"11",19007,"8888",58,140,41.4285714285714,84019007,"Appanoose County","IA",19,7,"H1"
"12",19009,"2025",29,44,65.9090909090909,84019009,"Audubon County","IA",19,9,"H1"
"13",19009,"8888",15,44,34.0909090909091,84019009,"Audubon County","IA",19,9,"H1"
"14",19011,"2002",25,137,18.2481751824818,84019011,"Benton County","IA",19,11,"H1"
"15",19011,"2006",8,137,5.83941605839416,84019011,"Benton County","IA",19,11,"H1"
"16",19011,"2024",6,137,4.37956204379562,84019011,"Benton County","IA",19,11,"H1"
"17",19011,"2040",70,137,51.0948905109489,84019011,"Benton County","IA",19,11,"H1"
"18",19011,"8888",28,137,20.4379562043796,84019011,"Benton County","IA",19,11,"H1"
"19",19013,"2000",12,54,22.2222222222222,84019013,"Black Hawk County","IA",19,13,"H1"
"20",19013,"2002",10,54,18.5185185185185,84019013,"Black Hawk County","IA",19,13,"H1"
"21",19013,"2043",32,54,59.2592592592593,84019013,"Black Hawk County","IA",19,13,"H1"
"22",19015,"2020",8,79,10.126582278481,84019015,"Boone County","IA",19,15,"H1"
"23",19015,"2029",24,79,30.379746835443,84019015,"Boone County","IA",19,15,"H1"
"24",19015,"2038",23,79,29.1139240506329,84019015,"Boone County","IA",19,15,"H1"
"25",19015,"2047",24,79,30.379746835443,84019015,"Boone County","IA",19,15,"H1"
"26",19017,"1998",8,100,8,84019017,"Bremer County","IA",19,17,"H1"
"27",19017,"1999",16,100,16,84019017,"Bremer County","IA",19,17,"H1"
"28",19017,"2001",28,100,28,84019017,"Bremer County","IA",19,17,"H1"
"29",19017,"2002",24,100,24,84019017,"Bremer County","IA",19,17,"H1"
"30",19017,"2007",8,100,8,84019017,"Bremer County","IA",19,17,"H1"
"31",19017,"2042",16,100,16,84019017,"Bremer County","IA",19,17,"H1"
"32",19019,"1995",9,199,4.52261306532663,84019019,"Buchanan County","IA",19,19,"H1"
"33",19019,"1998",92,199,46.2311557788945,84019019,"Buchanan County","IA",19,19,"H1"
"34",19019,"1999",21,199,10.5527638190955,84019019,"Buchanan County","IA",19,19,"H1"
"35",19019,"2002",24,199,12.0603015075377,84019019,"Buchanan County","IA",19,19,"H1"
"36",19019,"2009",8,199,4.02010050251256,84019019,"Buchanan County","IA",19,19,"H1"
"37",19019,"2042",16,199,8.04020100502512,84019019,"Buchanan County","IA",19,19,"H1"
"38",19019,"2048",24,199,12.0603015075377,84019019,"Buchanan County","IA",19,19,"H1"
"39",19019,"8888",5,199,2.51256281407035,84019019,"Buchanan County","IA",19,19,"H1"
"40",19021,"8888",34,34,100,84019021,"Buena Vista County","IA",19,21,"H1"
"41",19023,"1997",14,178,7.86516853932584,84019023,"Butler County","IA",19,23,"H1"
"42",19023,"1999",62,178,34.8314606741573,84019023,"Butler County","IA",19,23,"H1"
"43",19023,"2000",46,178,25.8426966292135,84019023,"Butler County","IA",19,23,"H1"
"44",19023,"2002",36,178,20.2247191011236,84019023,"Butler County","IA",19,23,"H1"
"45",19023,"2044",20,178,11.2359550561798,84019023,"Butler County","IA",19,23,"H1"
"46",19025,"2043",16,51,31.3725490196078,84019025,"Calhoun County","IA",19,25,"H1"
"47",19025,"8888",35,51,68.6274509803922,84019025,"Calhoun County","IA",19,25,"H1"
"48",19027,"2001",23,187,12.2994652406417,84019027,"Carroll County","IA",19,27,"H1"
"49",19027,"2036",72,187,38.5026737967914,84019027,"Carroll County","IA",19,27,"H1"
"50",19027,"2041",20,187,10.6951871657754,84019027,"Carroll County","IA",19,27,"H1"
"51",19027,"2042",20,187,10.6951871657754,84019027,"Carroll County","IA",19,27,"H1"
"52",19027,"2043",12,187,6.41711229946524,84019027,"Carroll County","IA",19,27,"H1"
"53",19027,"2052",24,187,12.8342245989305,84019027,"Carroll County","IA",19,27,"H1"
"54",19027,"8888",16,187,8.55614973262032,84019027,"Carroll County","IA",19,27,"H1"
"55",19029,"2001",9,61,14.7540983606557,84019029,"Cass County","IA",19,29,"H1"
"56",19029,"2041",28,61,45.9016393442623,84019029,"Cass County","IA",19,29,"H1"
"57",19029,"2045",24,61,39.344262295082,84019029,"Cass County","IA",19,29,"H1"
"58",19031,"2009",16,123,13.0081300813008,84019031,"Cedar County","IA",19,31,"H1"
"59",19031,"2012",16,123,13.0081300813008,84019031,"Cedar County","IA",19,31,"H1"
"60",19031,"2029",25,123,20.3252032520325,84019031,"Cedar County","IA",19,31,"H1"
"61",19031,"2032",11,123,8.94308943089431,84019031,"Cedar County","IA",19,31,"H1"
"62",19031,"2047",24,123,19.5121951219512,84019031,"Cedar County","IA",19,31,"H1"
"63",19031,"8888",31,123,25.2032520325203,84019031,"Cedar County","IA",19,31,"H1"
"64",19033,"2032",24,72,33.3333333333333,84019033,"Cerro Gordo County","IA",19,33,"H1"
"65",19033,"2043",48,72,66.6666666666667,84019033,"Cerro Gordo County","IA",19,33,"H1"
"66",19035,"2042",27,57,47.3684210526316,84019035,"Cherokee County","IA",19,35,"H1"
"67",19035,"2044",24,57,42.1052631578947,84019035,"Cherokee County","IA",19,35,"H1"
"68",19035,"2045",6,57,10.5263157894737,84019035,"Cherokee County","IA",19,35,"H1"
"69",19037,"1993",5,38,13.1578947368421,84019037,"Chickasaw County","IA",19,37,"H1"
"70",19037,"1997",23,38,60.5263157894737,84019037,"Chickasaw County","IA",19,37,"H1"
"71",19037,"2044",10,38,26.3157894736842,84019037,"Chickasaw County","IA",19,37,"H1"
"72",19039,"2030",24,138,17.3913043478261,84019039,"Clarke County","IA",19,39,"H1"
"73",19039,"2039",90,138,65.2173913043478,84019039,"Clarke County","IA",19,39,"H1"
"74",19039,"2042",24,138,17.3913043478261,84019039,"Clarke County","IA",19,39,"H1"
"75",19041,"2041",92,116,79.3103448275862,84019041,"Clay County","IA",19,41,"H1"
"76",19041,"2044",24,116,20.6896551724138,84019041,"Clay County","IA",19,41,"H1"
"77",19043,"1995",9,92,9.78260869565217,84019043,"Clayton County","IA",19,43,"H1"
"78",19043,"1997",27,92,29.3478260869565,84019043,"Clayton County","IA",19,43,"H1"
"79",19043,"1998",16,92,17.3913043478261,84019043,"Clayton County","IA",19,43,"H1"
"80",19043,"2015",20,92,21.7391304347826,84019043,"Clayton County","IA",19,43,"H1"
"81",19043,"2041",5,92,5.43478260869565,84019043,"Clayton County","IA",19,43,"H1"
"82",19043,"2042",15,92,16.304347826087,84019043,"Clayton County","IA",19,43,"H1"
"83",19045,"2044",6,23,26.0869565217391,84019045,"Clinton County","IA",19,45,"H1"
"84",19045,"8888",17,23,73.9130434782609,84019045,"Clinton County","IA",19,45,"H1"
"85",19047,"1991",9,9,100,84019047,"Crawford County","IA",19,47,"H1"
"86",19049,"2000",24,278,8.63309352517986,84019049,"Dallas County","IA",19,49,"H1"
"87",19049,"2040",8,278,2.87769784172662,84019049,"Dallas County","IA",19,49,"H1"
"88",19049,"2041",24,278,8.63309352517986,84019049,"Dallas County","IA",19,49,"H1"
"89",19049,"2042",154,278,55.3956834532374,84019049,"Dallas County","IA",19,49,"H1"
"90",19049,"2045",68,278,24.4604316546763,84019049,"Dallas County","IA",19,49,"H1"
"91",19051,"1974",32,60,53.3333333333333,84019051,"Davis County","IA",19,51,"H1"
"92",19051,"2002",4,60,6.66666666666667,84019051,"Davis County","IA",19,51,"H1"
"93",19051,"2041",24,60,40,84019051,"Davis County","IA",19,51,"H1"
"94",19053,"2000",64,72,88.8888888888889,84019053,"Decatur County","IA",19,53,"H1"
"95",19053,"2042",8,72,11.1111111111111,84019053,"Decatur County","IA",19,53,"H1"
"96",19055,"1998",22,90,24.4444444444444,84019055,"Delaware County","IA",19,55,"H1"
"97",19055,"2004",16,90,17.7777777777778,84019055,"Delaware County","IA",19,55,"H1"
"98",19055,"2040",28,90,31.1111111111111,84019055,"Delaware County","IA",19,55,"H1"
"99",19055,"2047",24,90,26.6666666666667,84019055,"Delaware County","IA",19,55,"H1"
"100",19057,"2009",16,40,40,84019057,"Des Moines County","IA",19,57,"H1"
"101",19057,"2043",24,40,60,84019057,"Des Moines County","IA",19,57,"H1"
"102",19059,"2006",8,70,11.4285714285714,84019059,"Dickinson County","IA",19,59,"H1"
"103",19059,"2044",48,70,68.5714285714286,84019059,"Dickinson County","IA",19,59,"H1"
"104",19059,"8888",14,70,20,84019059,"Dickinson County","IA",19,59,"H1"
"105",19061,"2018",20,24,83.3333333333333,84019061,"Dubuque County","IA",19,61,"H1"
"106",19061,"2044",4,24,16.6666666666667,84019061,"Dubuque County","IA",19,61,"H1"
"107",19063,"2000",12,40,30,84019063,"Emmet County","IA",19,63,"H1"
"108",19063,"2015",12,40,30,84019063,"Emmet County","IA",19,63,"H1"
"109",19063,"2048",16,40,40,84019063,"Emmet County","IA",19,63,"H1"
"110",19065,"1998",47,79,59.4936708860759,84019065,"Fayette County","IA",19,65,"H1"
"111",19065,"2043",8,79,10.126582278481,84019065,"Fayette County","IA",19,65,"H1"
"112",19065,"2044",24,79,30.379746835443,84019065,"Fayette County","IA",19,65,"H1"
"113",19067,"2011",24,72,33.3333333333333,84019067,"Floyd County","IA",19,67,"H1"
"114",19067,"2049",24,72,33.3333333333333,84019067,"Floyd County","IA",19,67,"H1"
"115",19067,"2054",24,72,33.3333333333333,84019067,"Floyd County","IA",19,67,"H1"
"116",19069,"2011",24,24,100,84019069,"Franklin County","IA",19,69,"H1"
"117",19071,"2043",23,23,100,84019071,"Fremont County","IA",19,71,"H1"
"118",19073,"2043",11,11,100,84019073,"Greene County","IA",19,73,"H1"
"119",19075,"2000",36,56,64.2857142857143,84019075,"Grundy County","IA",19,75,"H1"
"120",19075,"2001",20,56,35.7142857142857,84019075,"Grundy County","IA",19,75,"H1"
"121",19077,"2016",8,21,38.0952380952381,84019077,"Guthrie County","IA",19,77,"H1"
"122",19077,"8888",13,21,61.9047619047619,84019077,"Guthrie County","IA",19,77,"H1"
"123",19079,"2000",4,44,9.09090909090909,84019079,"Hamilton County","IA",19,79,"H1"
"124",19079,"2047",24,44,54.5454545454545,84019079,"Hamilton County","IA",19,79,"H1"
"125",19079,"8888",16,44,36.3636363636364,84019079,"Hamilton County","IA",19,79,"H1"
"126",19081,"2009",24,24,100,84019081,"Hancock County","IA",19,81,"H1"
"127",19083,"2000",52,115,45.2173913043478,84019083,"Hardin County","IA",19,83,"H1"
"128",19083,"2002",24,115,20.8695652173913,84019083,"Hardin County","IA",19,83,"H1"
"129",19083,"2006",16,115,13.9130434782609,84019083,"Hardin County","IA",19,83,"H1"
"130",19083,"8888",23,115,20,84019083,"Hardin County","IA",19,83,"H1"
"131",19085,"2014",4,28,14.2857142857143,84019085,"Harrison County","IA",19,85,"H1"
"132",19085,"2043",24,28,85.7142857142857,84019085,"Harrison County","IA",19,85,"H1"
"133",19087,"1999",16,148,10.8108108108108,84019087,"Henry County","IA",19,87,"H1"
"134",19087,"2001",28,148,18.9189189189189,84019087,"Henry County","IA",19,87,"H1"
"135",19087,"2002",36,148,24.3243243243243,84019087,"Henry County","IA",19,87,"H1"
"136",19087,"2005",24,148,16.2162162162162,84019087,"Henry County","IA",19,87,"H1"
"137",19087,"2041",24,148,16.2162162162162,84019087,"Henry County","IA",19,87,"H1"
"138",19087,"2043",20,148,13.5135135135135,84019087,"Henry County","IA",19,87,"H1"
"139",19089,"2025",23,23,100,84019089,"Howard County","IA",19,89,"H1"
"140",19091,"2000",100,135,74.0740740740741,84019091,"Humboldt County","IA",19,91,"H1"
"141",19091,"2045",20,135,14.8148148148148,84019091,"Humboldt County","IA",19,91,"H1"
"142",19091,"8888",15,135,11.1111111111111,84019091,"Humboldt County","IA",19,91,"H1"
"143",19093,"2001",16,40,40,84019093,"Ida County","IA",19,93,"H1"
"144",19093,"2047",24,40,60,84019093,"Ida County","IA",19,93,"H1"
"145",19095,"2001",8,200,4,84019095,"Iowa County","IA",19,95,"H1"
"146",19095,"2004",44,200,22,84019095,"Iowa County","IA",19,95,"H1"
"147",19095,"2005",32,200,16,84019095,"Iowa County","IA",19,95,"H1"
"148",19095,"2006",24,200,12,84019095,"Iowa County","IA",19,95,"H1"
"149",19095,"2012",4,200,2,84019095,"Iowa County","IA",19,95,"H1"
"150",19095,"2020",24,200,12,84019095,"Iowa County","IA",19,95,"H1"
"151",19095,"2043",24,200,12,84019095,"Iowa County","IA",19,95,"H1"
"152",19095,"2044",17,200,8.5,84019095,"Iowa County","IA",19,95,"H1"
"153",19095,"2045",16,200,8,84019095,"Iowa County","IA",19,95,"H1"
"154",19095,"8888",7,200,3.5,84019095,"Iowa County","IA",19,95,"H1"
"155",19097,"2000",8,92,8.69565217391304,84019097,"Jackson County","IA",19,97,"H1"
