"GEOID","Name","AgingHousingStockM","TypicalOwnerCostsM","TypicalRenterCostsM","AffordabilityIndexM","HousingPriceDispersionM","CostBurdenOwnersM","CostBurdenRenterM","HomeOwnerShipRateM","MultFamShareM","RentalUnitRatioM","Gini_index_income_inequality_EST_MOE","Pct_prime_working_age_MOE","Old_age_dependency_ratio_MOE","Pct_language_barrier_MOE","Pct_disability_MOE","Pct_poverty_MOE"
19001,"Adair County, Iowa",3.8,49,54,0.177229795,0.21985837,2.941088234,8.769264507,3,2.366431913,0.038434462,0.0292,1.58113883008419,1,0.3,1.8,2.1
19003,"Adams County, Iowa",4.3,62,78,0.178154284,0.611230057,5.423098745,9.526804291,3.8,2.304343724,0.045719945,0.0302,1.70880074906351,1.3,0.3,1.9,3.4
19005,"Allamakee County, Iowa",3.3,67,39,0.301399705,0.30289926,3.140063694,11.01135777,2.5,1.95192213,0.031428968,0.0241,1.5,0.4,1.5,1.7,2.1
19007,"Appanoose County, Iowa",3.7,48,42,0.170579879,0.419554184,4.23792402,11.45862121,3.1,2.734958866,0.045308575,0.0499,1.22474487139159,1.1,0.7,2.2,4
19009,"Audubon County, Iowa",4.2,33,50,0.168207679,0.313617554,1.941648784,13.23064624,3.6,1.621727474,0.04191156,0.0203,1.50996688705415,0.2,0.3,2.2,2.2
19011,"Benton County, Iowa",2.5,44,63,0.167243152,0.136864711,5.239274759,8.7,2.3,0.92736185,0.025682509,0.0153,0.905538513813742,0.3,0.2,1,1.5
19013,"Black Hawk County, Iowa",1.1,24,20,0.121397367,0.10336873,1.843908891,3,1.1,1.256980509,0.013554964,0.0135,0.6,0.1,0.6,0.7,1.1
19015,"Boone County, Iowa",2.7,46,40,0.254310622,0.257177795,3.841874542,6.942621983,2.3,2.085665361,0.030649461,0.0192,1.41067359796659,0.2,0.3,1.5,1.6
19017,"Bremer County, Iowa",2.4,45,75,0.147229967,0.12643571,2.01246118,7.547184906,1.7,1.941648784,0.02143612,0.0192,0.888819441731559,0.5,0.5,1.1,1.5
19019,"Buchanan County, Iowa",2.4,56,53,0.200701281,0.21376663,2.284731932,6.800735254,2.2,1.679285562,0.027224111,0.0551,1.17473401244707,0.9,0.4,1.2,1.4
19021,"Buena Vista County, Iowa",3.1,66,32,0.261110409,0.323686041,1.96468827,9.180958556,3,3.940812099,0.036231415,0.0147,1.7832554500127,1,1.7,1.2,2.6
19023,"Butler County, Iowa",2.5,29,58,0.144704389,0.218077382,2.915475947,7.083078427,2.1,1.311487705,0.025542295,0.0274,1.09544511501033,0.4,0.5,1.3,1.4
19025,"Calhoun County, Iowa",3,27,27,0.146493709,0.308633444,1.565247584,7.66093989,2.4,1.763519209,0.031843647,0.0207,1.3228756555323,0.7,0.3,1.3,1.5
19027,"Carroll County, Iowa",2.3,47,35,0.220176808,0.165901133,2.5,8.28794305,2.7,1.646207763,0.03252192,0.0187,1.29228479833201,0.9,0.8,1.2,1.4
19029,"Cass County, Iowa",3.4,50,51,0.267930584,0.201571426,4.491102315,9.940321926,2.9,2.457641145,0.038520612,0.0321,1.53622914957372,0.6,0.9,1.6,2.5
19031,"Cedar County, Iowa",2.9,53,53,0.197540499,0.19971589,3.920459157,6.93181073,2,1.702938637,0.023593944,0.0179,1.27671453348037,0.4,0.3,1.3,1.3
