fips,county_name,PercentMultiFamAssistPerHouseold,PercentLIHTCperHousehold,Percent_515Properties,PercentHudSec8Lost5Year,PercentLILost5Year,PercentUSDAsec515Lost5Year,X5YearPctChange,MultiFamHomeConstructPct,SingleFamHomeConstructPct,MedianValue,TypicalRenterCosts,TypicalOwnerCosts,AgingHousingStock,AffordabilityIndex,HousingPriceDispersion,CostBurdenOwner,CostBurdenRenter,HomeOwnerShipRate,RentalUnitRatio,MultiFamShare,DaysOnMarketUntilSale,AverageEvictionFilingsPer1000Households,TotalPercentVacant,PercentVacant36Month,ZillowHousePriceIndex,ACSVacancyPercentage,EvictionFilings2021.2019,Pct_popchg_10yr,Pct_PK12_enrollchg_10yr,Ann_pct_emp_chg_2010.19,Pct_emp_chg_2019.20,Unemp_rate_2021,Pct_transfer_pmt_dependence,Prop_tax_capacity_ratio,Prop_tax_effort_ratio,Diversity_index,Gini_index_income_inequality_EST,Pct_prime_working_age_EST,Old_age_dependency_ratio_EST,Pct_language_barrier_EST,Pct_disability_EST,Pct_poverty_EST,PrcntChangeFMR2016_2020,PrcntChangeFMR2020_2022,PrcntChangeEmployTotal2016_2020,PrcntChangeEmployWage2016_2020,InventoryOfHomesForSalesPer1000Households
19001,Adair County,1.0041841,0.892608089,3.542538354,0,0,0,11.96327764,0,0.852925096,111100,575,729,35.6,2.485069452,2.359612725,9.1,30.3,69.9,0.317376438,7.2,73,2.486788934,1.04724793,0.8037019,25.67887315,13.26503101,-41.17647059,-0.024212445,-0.164835165,0.006221416,-0.00340643,3.1,0.196679046,134.2074109,129.6673359,0.11034366,0.407,33.8,39.8,0.3,15.2,11.1,10.98546042,7.569141194,0.580146111,1.642036125,3.419334784
19003,Adams County,NA,0.63559322,0.423728814,0,0,0,27.79571911,0,0.064835352,81400,679,649,46.6,2.015300438,3.725531915,13.2,19.2,80.8,0.194837124,4.1,,0.826104915,5.024154589,3.47826087,NA,19.09497762,NA,-0.080665177,-0.182163188,0.002039089,-0.057958478,3,0.188427794,202.5141785,145.3885154,0.097148783,0.4176,32.7,40.8,0.1,14.3,13.4,10.98546042,21.54294032,-4.389815628,-6.913756237,1.2292563
19005,Allamakee County,0.208659364,0.860719875,0.965049557,100,0,0,14.33706302,0.225988701,1.56384505,133400,629,681,29.2,3.072883074,2.879746835,11.2,42.6,80.1,0.222465108,9,34,1.725030188,1.763457969,1.07398568,22.74952117,23.91248721,-38.0952381,-0.018771807,-0.041255605,-0.002571974,-0.036990596,4.6,0.203059718,109.3628152,122.7406193,0.214294852,0.4098,32.1,41.7,4.5,11.4,11.4,10.98546042,7.569141194,-6.931652933,-6.204447767,3.026736169
19007,Appanoose County,0.808753568,1.443070092,2.220107834,100,0,51.42857143,21.99391644,0,0.020339296,85000,661,636,35.6,2.035928144,3.166666667,15.1,50.5,72.4,0.32717475,11.7,37,3.50877193,6.593718914,3.964757709,19.49027029,21.73520108,-25,-0.04423062,-0.073028238,-0.002747883,-0.017804154,4.3,0.311048111,69.59739685,123.6992103,0.114063887,0.4936,33,42.5,0.9,18.3,19.7,10.98546042,7.569141194,-5.075996559,-4.566022213,9.622786759
19009,Audubon County,NA,NA,1.578758522,0,0,65.90909091,28.39664339,0,0.061811064,84300,606,557,42.3,2.122730592,3.037037037,5.4,42.5,75,0.271646228,3.7,41,1.067520683,2.596153846,1.25,21.31542342,9.939759036,-25,-0.072724301,-0.307594937,-0.0077639,-0.023666667,3.2,0.219186793,148.5752503,139.7058957,0.079122388,0.3861,30.6,45.2,0.2,13.1,11.3,10.98546042,7.569141194,-6.241997439,-2.917620137,2.972872538
19011,Benton County,0.650054171,NA,1.236908631,0,0,4.379562044,19.8268045,1.048951049,0.329345169,158700,695,974,32.3,3.266641966,2.346718903,17,40.7,81.8,0.196584514,4.6,28,3.955131946,1.534086012,0.879082996,21.2641702,7.8752123,11.62790698,-0.019213069,-0.050873587,0.003856465,-0.026257574,4.5,0.164186537,107.9326819,112.317283,0.112477455,0.3922,36,31.5,0.5,10.9,8.8,10.98546042,7.569141194,-4.60755677,-0.11153601,5.045604502
19013,Black Hawk County,1.635956898,1.647910654,0.092214689,33.61169102,52.33160622,0,12.60433604,19.74562798,3.190184049,150200,818,890,19,3.407982211,2.335410177,9.9,49.4,65.6,0.370079331,16.4,13,13.32153022,3.665640011,1.643713196,21.08640303,8.362692698,-35.63218391,0.000411931,0.049288731,0.002692049,-0.046685677,4.6,0.208899935,73.06010815,89.96197173,0.389774218,0.4658,34.9,26.7,3.8,13.1,15.5,4.663923182,16.51376147,-4.793392037,-5.155048693,2.51308115
19015,Boone County,0.285210972,1.140843889,0.662696083,0,17.64705882,0,19.71624863,2.788844622,1.145394007,141000,747,947,37.3,3.115746674,2.370217166,12.5,35.3,78.2,0.246643829,12.2,33,4.522963908,3.887328221,1.526080024,23.56373172,10.11899809,-47.61904762,0.015547784,-0.043290043,0.000125194,-0.035958261,3.5,0.200515867,105.5724536,67.40339554,0.142037123,0.4074,37.2,30,0.7,13,7.2,17.53554502,8.870967742,-7.750879966,-9.463290644,4.44403296
19017,Bremer County,0.963372758,0.858450973,0.953834414,0,13.33333333,0,11.97978362,2.556237219,1.071363719,169000,677,913,31.6,3.212194937,2.306068602,8.4,39.3,83.1,0.189669421,10.3,15,0.863915958,1.643786127,0.532875723,19.41555125,7.835856422,-58.06451613,0.029329379,0.132451638,0.005102336,-0.037623896,3.2,0.175871712,91.73317784,87.24907927,0.121726641,0.3753,33.9,34.1,0.8,11.1,7.1,5.855161787,16.59388646,-4.137282558,-4.741260031,2.479338843
19019,Buchanan County,NA,0.258834121,2.23947783,0,0,0,16.38816187,3.016476553,0.211804575,143200,691,801,27.6,3.236450753,2.224210526,7.7,31.3,80,0.230845895,7.9,36,3.537448158,1.322805578,0.687038556,22.86320941,11.91704159,-29.16666667,-0.018751789,0.063380282,0.004121762,-0.020657995,3.7,0.181420049,95.68878964,111.4456236,0.094021221,0.4436,34.8,32.5,1,12.5,7.4,7.73993808,14.65517241,-0.87124879,1.711419298,2.491590881
19021,Buena Vista County,1.498587397,3.083159317,0.417639111,13.1147541,0,0,13.48992081,3.411371237,0.340055358,120300,706,694,28.8,3.083982773,2.409150327,7.2,37.8,64.5,0.386471519,15.2,74,0.537129045,2.10453284,1.121646623,23.39849134,8.538350217,NA,0.027788746,0.19698059,0.001855936,-0.011719582,3.2,0.181637767,102.90465,123.2053384,0.61039579,0.4013,34.1,25.6,19.3,9.8,10.9,10.09615385,9.898107715,-1.214057508,-0.044738726,1.318565401
19023,Butler County,NA,0.305997552,2.723378213,0,0,0,18.31367876,0.080160321,0.503937008,120100,628,733,39.2,2.64176675,2.351485149,11.5,40.2,77.3,0.259223143,5.2,44,1.112594571,0,0,20.86322451,9.567901235,-10,-0.035851214,-0.102145046,-0.005203855,-0.016376202,3.8,0.224162465,111.6100261,111.7283518,0.079046953,0.4153,33.9,41,0.8,11.5,11.1,10.98546042,7.569141194,-4.562682216,-1.376848547,2.762879896
19025,Calhoun County,1.047998323,0.335359463,1.06895829,100,0,0,16.88600391,0,0.28833967,85600,591,581,33.1,1.994780015,2.895204263,5,42.3,78.7,0.236656105,8.6,50,0.327600328,3.974408686,2.09383482,23.73129694,19.67501958,NA,0.026577042,-0.167411823,-0.010870468,-0.032482125,3.9,0.215082327,147.5824922,124.1029465,0.128436225,0.4309,34,40.9,0.5,12.3,11.6,10.98546042,7.569141194,-9.254646484,-7.651301348,5.118206191
19027,Carroll County,0.305584826,1.296101159,1.970495258,20.68965517,0,0,14.40130598,0.2680067,0.181234228,138700,610,707,27.1,3.149838761,2.45272525,8.4,42.5,76.2,0.264940469,8.5,22,1.981858373,2.875399361,1.188099042,20.53847249,9.118604895,33.33333333,-0.002690238,0.229981718,-0.001590272,-0.041868746,3.1,0.179009603,124.3602383,77.37502542,0.12458615,0.4214,33.3,36.2,1.4,10.9,7.4,10.98546042,7.569141194,-6.066807102,-6.88865254,2.31187146
19029,Cass County,0.453266646,0.812753986,0.953422945,0,0,0,17.72310058,0.1,0.163515585,107200,633,691,41.2,2.494937976,2.599717115,12.2,38.8,72.7,0.306219285,10.4,40,1.317749513,3.138496977,0.863806507,19.69642685,10.36001823,-80.64516129,-0.059400974,0.23210905,-0.00341037,-0.024149286,3.7,0.246160029,134.1164421,102.4725859,0.118418846,0.4454,33,41.5,1.2,12.8,11.2,10.98546042,7.569141194,-8.161157025,-7.759290935,2.88086765
19031,Cedar County,0.183150183,0.293040293,1.501831502,0,0,0,18.68116417,7.307692308,1.116719243,163100,700,958,38.1,3.426830549,2.351247601,13.8,31,80.4,0.216407923,8.5,25,1.711877798,1.10974106,0.526846766,19.98866534,9.36438622,-26.31578947,0.000324342,-0.062756598,0.001044687,-0.04642409,3.8,0.152000451,124.921406,103.6452023,0.121237055,0.3704,35.9,33.5,0.6,10.5,7.4,15.52795031,10.08064516,-6.403940887,-7.085124678,4.817987152
19033,Cerro Gordo County,1.641375039,1.791797549,0.318541786,47.70889488,0,0,16.50086743,4.763513514,1.383227531,130400,711,796,30.4,2.769165428,2.690734055,10.5,41.7,69.6,0.31919597,13.6,84,3.415869053,4.797742239,2.212769438,22.69831372,13.02092649,872.7272727,-0.023193133,-0.002579536,-0.000460618,-0.036494234,4.3,0.21670202,114.2182536,91.74648455,0.226739581,0.4384,34.2,37.2,1.1,13.9,9.5,10.64139942,8.168642951,-3.847637416,-2.68197727,7.351429159
19035,Cherokee County,1.115509176,0.791651673,1.025548759,0,0,0,10.75154156,0.042780749,0.06414111,117400,536,633,38.3,2.572812342,2.884848485,6.5,40.7,73.7,0.268265056,7.5,33,1.996805112,3.627287854,1.381031614,25.41956361,7.621206836,-33.33333333,-0.034294235,-0.105686387,-0.010052436,0.004144791,3.4,0.178138982,147.5553588,83.1303753,0.160003942,0.4284,32,43.8,0.1,10.8,11.8,10.98546042,7.569141194,-0.356457362,1.178288584,1.699074948
19037,Chickasaw County,NA,NA,0.686664257,0,0,0,19.06836461,0.1517067,0.035687453,122000,638,712,33.8,2.746386925,2.427509294,8.8,32.3,82.1,0.200704915,4.9,34,1.526616222,2.280672549,0.815714999,20.25582409,10.43493511,-16.66666667,-0.034327518,-0.22546673,0.004052247,-0.03145308,3.6,0.167627327,125.0365328,102.8841062,0.132763964,0.4006,32.2,36.5,2.2,13.6,7.8,10.98546042,7.569141194,-2.51177394,-0.15910899,2.741335422
19039,Clarke County,1.593252109,2.249297095,3.233364574,100,0,0,22.19115222,0,0.35012365,115400,601,843,29.7,2.690102103,2.790436006,11.5,49.6,69.3,0.325316456,11.2,106,1.033324722,3.253750264,1.669131629,24.55304892,8.670520231,NA,0.049752315,-0.093854749,0.003287273,-0.037853297,4.3,0.250354678,82.61855798,142.5191452,0.328437183,0.4422,35.4,31.4,6,18.3,17.4,9.710144928,12.15323646,-5.141814563,-4.199648197,4.556962025
19041,Clay County,1.751140708,1.368849427,1.430509311,8.450704225,14.41441441,0,15.54334003,4.572649573,0.462316398,129700,693,838,28.6,2.977365594,2.459649123,18.9,49.1,67.5,0.353881588,14.1,49,3.50780024,2.450197081,1.257057633,19.46540817,10.98649301,4,-0.01697966,-0.020391517,-0.003751063,-0.019429725,3.6,0.19538192,125.431434,100.247921,0.156487793,0.4266,33.8,37.1,1.1,15.4,10.4,10.98546042,11.79039301,-3.188839063,-3.286436579,6.638666847
19043,Clayton County,0.11418132,0.17127198,1.050468143,100,0,0,15.32133358,0,0.379263637,131600,656,713,36.8,3.093849915,2.490589711,14.1,33.6,73.4,0.287055401,9.6,26,1.412622465,0,0,20.72195913,17.19040841,30,-0.059904021,0.589808274,0.001698447,-0.043565075,5.1,0.211539714,110.3997376,107.8846609,0.105505983,0.4017,32.1,42.3,2.8,14,12.3,10.98546042,8.733624454,-4.57303269,-5.698401668,3.702234563
