"fips","county_name","PercentMultiFamAssistPerHouseold","PercentLIHTCperHousehold","Percent_515Properties","PercentHudSec8Lost5Year","PercentLILost5Year","PercentUSDAsec515Lost5Year","X5YearPctChange","MultiFamHomeConstructPct","SingleFamHomeConstructPct","MedianValue","TypicalRenterCosts","TypicalOwnerCosts","AgingHousingStock","AffordabilityIndex","HousingPriceDispersion","CostBurdenOwner","CostBurdenRenter","HomeOwnerShipRate","RentalUnitRatio","MultiFamShare","DaysOnMarketUntilSale","InventoryOfHomesForSale","AverageEvictionFilingsPer1000Households","TotalPercentVacant","PercentVacant36Month","ZillowHousePriceIndex","ACSVacancyPercentage","EvictionFilings2021.2019","Pct_popchg_10yr","Pct_PK12_enrollchg_10yr","Ann_pct_emp_chg_2010.19","Pct_emp_chg_2019.20","Unemp_rate_2021","Pct_transfer_pmt_dependence","Prop_tax_capacity_ratio","Prop_tax_effort_ratio","Diversity_index","Gini_index_income_inequality_EST","Pct_prime_working_age_EST","Old_age_dependency_ratio_EST","Pct_language_barrier_EST","Pct_disability_EST","Pct_poverty_EST","PrcntChangeFMR2016_2020","PrcntChangeFMR2020_2022","PrcntChangeEmployTotal2016_2020","PrcntChangeEmployWage2016_2020"
19001,"Adair County",1.00418410041841,0.892608089260809,3.54253835425384,0,0,0,11.9632776415578,0,0.8529250956807,111100,575,729,35.6,2.48506945221106,2.35961272475795,9.1,30.3,69.9,0.317376437674852,7.2,73,11,2.48678893378924,1.04724792985874,0.803701899659035,25.6788731499714,13.26503101,13.5,-0.0242124446758657,-0.164835164835165,0.00622141550636823,-0.00340642963593785,3.1,0.196679046217374,134.207410864265,129.667335868191,0.110343659628073,0.407,33.8,39.8,0.3,15.2,11.1,10.98546042,7.569141194,0.580146111,1.642036125
19003,"Adams County",NA,0.635593220338983,0.423728813559322,0,0,0,27.7957191137814,0,0.0648353523289541,81400,679,649,46.6,2.01530043821643,3.72553191489362,13.2,19.2,80.8,0.194837123540258,4.1,NA,2,0.82610491511772,5.02415458937198,3.47826086956522,NA,19.09497762,2,-0.0806651774633904,-0.182163187855787,0.00203908937838593,-0.0579584775086506,3,0.188427793542587,202.514178518696,145.38851538703,0.0971487831729402,0.4176,32.7,40.8,0.1,14.3,13.4,10.98546042,21.54294032,-4.389815628,-6.913756237
19005,"Allamakee County",0.208659363588941,0.860719874804382,0.965049556598852,100,0,0,14.337063018146,0.225988700564972,1.56384505021521,133400,629,681,29.2,3.07288307380448,2.87974683544304,11.2,42.6,80.1,0.222465108458046,9,34,18,1.72503018802829,1.76345796870857,1.07398568019093,22.749521174718,23.91248721,17,-0.0187718073970691,-0.0412556053811659,-0.00257197438197931,-0.0369905956112853,4.6,0.203059717724695,109.362815215307,122.740619256484,0.214294852048756,0.4098,32.1,41.7,4.5,11.4,11.4,10.98546042,7.569141194,-6.931652933,-6.204447767
19007,"Appanoose County",0.808753568030447,1.4430700919759,2.22010783380907,100,0,51.4285714285714,21.9939164442237,0,0.0203392964452457,85000,661,636,35.6,2.03592814371257,3.16666666666667,15.1,50.5,72.4,0.327174749807544,11.7,37,50,3.50877193045113,6.59371891431007,3.9647577092511,19.4902702925083,21.73520108,24.5,-0.0442306200046558,-0.0730282375851996,-0.00274788259365399,-0.0178041543026706,4.3,0.311048110974993,69.5973968519029,123.699210324382,0.114063887354385,0.4936,33,42.5,0.9,18.3,19.7,10.98546042,7.569141194,-5.075996559,-4.566022213
19009,"Audubon County",NA,NA,1.57875852170793,0,0,65.9090909090909,28.3966433924796,0,0.0618110641804883,84300,606,557,42.3,2.12273059199758,3.03703703703704,5.4,42.5,75,0.271646228167967,3.7,41,8,1.06752068334668,2.59615384615385,1.25,21.3154234226753,9.939759036,3.5,-0.0727243013564308,-0.307594936708861,-0.00776389956460988,-0.0236666666666666,3.2,0.219186793068241,148.575250341516,139.705895714993,0.0791223880915973,0.3861,30.6,45.2,0.2,13.1,11.3,10.98546042,7.569141194,-6.241997439,-2.917620137
19011,"Benton County",0.650054171180932,NA,1.23690863127483,0,0,4.37956204379562,19.8268044976424,1.04895104895105,0.329345169175351,158700,695,974,32.3,3.26664196616031,2.34671890303624,17,40.7,81.8,0.196584513875412,4.6,28,52,3.95513194611943,1.53408601223821,0.879082995776954,21.2641702036211,7.8752123,45.5,-0.0192130694891854,-0.0508735868448099,0.003856464717507,-0.026257574300279,4.5,0.16418653712053,107.932681897719,112.317282963881,0.112477454900915,0.3922,36,31.5,0.5,10.9,8.8,10.98546042,7.569141194,-4.60755677,-0.11153601
19013,"Black Hawk County",1.63595689817108,1.64791065421199,0.0922146894584949,33.6116910229645,52.3316062176166,0,12.6043360433604,19.7456279809221,3.19018404907975,150200,818,890,19,3.4079822113312,2.33541017653167,9.9,49.4,65.6,0.370079330845258,16.4,13,134,13.321530223337,3.6656400108517,1.64371319598487,21.086403028672,8.362692698,1072.5,0.000411930734609767,0.049288730829073,0.00269204907999354,-0.0466856774503699,4.6,0.208899934872035,73.0601081513992,89.9619717296089,0.389774217584104,0.4658,34.9,26.7,3.8,13.1,15.5,4.663923182,16.51376147,-4.793392037,-5.155048693
19015,"Boone County",0.285210972233873,1.14084388893549,0.662696082543411,0,17.6470588235294,0,19.716248627993,2.78884462151394,1.14539400665927,141000,747,947,37.3,3.11574667432713,2.37021716649431,12.5,35.3,78.2,0.246643829275067,12.2,33,48,4.52296390765868,3.88732822109179,1.5260800242958,23.5637317210027,10.11899809,80,0.0155477837755644,-0.0432900432900433,0.000125194063859357,-0.0359582613917874,3.5,0.200515867276977,105.572453588384,67.4033955375744,0.142037122566555,0.4074,37.2,30,0.7,13,7.2,17.53554502,8.870967742,-7.750879966,-9.463290644
19017,"Bremer County",0.963372758489126,0.858450972911103,0.95383441434567,0,13.3333333333333,0,11.9797836215747,2.55623721881391,1.07136371890321,169000,677,913,31.6,3.21219493651638,2.30606860158311,8.4,39.3,83.1,0.189669421487603,10.3,15,24,0.863915958221024,1.64378612716763,0.532875722543353,19.4155512517762,7.835856422,22,0.0293293788103477,0.13245163837347,0.0051023359584832,-0.037623895893736,3.2,0.175871711857126,91.7331778396705,87.2490792736832,0.121726640729282,0.3753,33.9,34.1,0.8,11.1,7.1,5.855161787,16.59388646,-4.137282558,-4.741260031
19019,"Buchanan County",NA,0.258834121089354,2.23947783029485,0,0,0,16.388161868331,3.01647655259823,0.21180457497882,143200,691,801,27.6,3.23645075261041,2.22421052631579,7.7,31.3,80,0.230845895104024,7.9,36,20,3.53744815808734,1.3228055783429,0.687038556193601,22.8632094144744,11.91704159,41,-0.0187517892928715,0.0633802816901408,0.00412176206190717,-0.0206579954093343,3.7,0.181420049077893,95.6887896399997,111.44562357337,0.0940212211918245,0.4436,34.8,32.5,1,12.5,7.4,7.73993808,14.65517241,-0.87124879,1.711419298
