"COUNTY","EvictionFilings2021.2019"
"Adair",-0.411764705882353
"Adams",NA
"Allamakee",-0.380952380952381
"Appanoose",-0.25
"Audubon",-0.25
"Benton",0.116279069767442
"Black Hawk",-0.35632183908046
"Boone",-0.476190476190476
"Bremer",-0.580645161290323
"Buchanan",-0.291666666666667
"Buena Vista",NA
"Butler",-0.1
"Calhoun",NA
"Carroll",0.333333333333333
"Cass",-0.806451612903226
"Cedar",-0.263157894736842
"Cerro Gordo",8.72727272727273
"Cherokee",-0.333333333333333
"Chickasaw",-0.166666666666667
"Clarke",NA
"Clay",0.04
"Clayton",0.3
"Clinton",-0.269709543568465
"Crawford",-0.59375
"Dallas",-0.331807780320366
"Davis",-0.818181818181818
"Decatur",NA
"Delaware",-0.4
"Des Moines",-0.28125
"Dickinson",-0.258064516129032
"Dubuque",-0.222988505747126
"Emmet",0.5
"Fayette",-0.0909090909090909
"Floyd",-0.1
"Franklin",0
"Fremont",0.333333333333333
"Greene",0
"Grundy",-0.384615384615385
"Guthrie",-0.555555555555556
"Hamilton",0.473684210526316
"Hancock",0.5
"Hardin",0.263157894736842
"Harrison",-0.5
"Henry",0.404255319148936
"Howard",-0.1875
"Humboldt",0.19047619047619
"Ida",-0.923076923076923
"Iowa",-0.12
"Jackson",-0.166666666666667
"Jasper",0.0714285714285714
"Jefferson",-0.246575342465753
"Johnson",-0.254166666666667
"Jones",-0.153846153846154
"Keokuk",-0.392857142857143
"Kossuth",-0.25
"Lee",-0.376712328767123
"Linn",-0.264184397163121
"Louisa",NA
"Lucas",NA
"Lyon",-0.625
"Madison",-0.44
"Mahaska",-0.277777777777778
"Marion",-0.117647058823529
"Marshall",-0.251141552511416
"Mills",-0.117647058823529
"Mitchell",-0.5
"Monona",NA
"Monroe",-0.791666666666667
"Montgomery",-0.622222222222222
"Muscatine",0.00800000000000001
"O'brien",-0.189189189189189
"O'Brien",NA
"Osceola",0.6
"Page",-0.310344827586207
"Palo Alto",2
"Plymouth",0.238095238095238
"Pocahontas",0
"Polk",-0.262459990855053
"Pottawattamie",-0.346915017462165
"Poweshiek",-0.23728813559322
"Ringgold",-0.666666666666667
"Sac",1.33333333333333
"Scott",-0.346296296296296
"Shelby",-0.0666666666666667
"Sioux",-0.3
"Story",-0.141509433962264
"Tama",0.0800000000000001
"Taylor",-0.7
"Union",-0.28125
"Van Buren",0.25
"Wapello",-0.443349753694581
"Warren",NA
"Washington",-0.241379310344828
"Wayne",NA
"Webster",0.0282485875706215
"Winnebago",-0.652173913043478
"Winneshiek",0.444444444444444
"Woodbury",-0.335740072202166
"Worth",0
"Wright",-0.142857142857143
