"","GEOID","CountyName","MedianValue","MedianValueMOE","MOEPct"
"1","19003","Adams County, Iowa",81400,6443,7.91523341523342
"2","19005","Allamakee County, Iowa",133400,12149,9.1071964017991
"3","19009","Audubon County, Iowa",84300,5317,6.30723606168446
"4","19013","Black Hawk County, Iowa",150200,3342,2.22503328894807
"5","19015","Boone County, Iowa",141000,7092,5.02978723404255
"6","19019","Buchanan County, Iowa",143200,5422,3.78631284916201
"7","19023","Butler County, Iowa",120100,4978,4.14487926727727
"8","19025","Calhoun County, Iowa",85600,3123,3.64836448598131
"9","19029","Cass County, Iowa",107200,10451,9.7490671641791
"10","19031","Cedar County, Iowa",163100,6151,3.77130594727161
"11","19035","Cherokee County, Iowa",117400,13089,11.149063032368
"12","19037","Chickasaw County, Iowa",122000,7814,6.40491803278689
"13","19041","Clay County, Iowa",129700,13250,10.2158828064765
"14","19045","Clinton County, Iowa",120200,3769,3.13560732113145
"15","19047","Crawford County, Iowa",101100,9906,9.79821958456973
"16","19051","Davis County, Iowa",117900,4976,4.22052586938083
"17","19053","Decatur County, Iowa",82800,6203,7.49154589371981
"18","19057","Des Moines County, Iowa",111600,8116,7.27240143369176
"19","19059","Dickinson County, Iowa",199800,13276,6.64464464464464
"20","19061","Dubuque County, Iowa",175300,3943,2.24928693667998
"21","19063","Emmet County, Iowa",90000,6001,6.66777777777778
"22","19065","Fayette County, Iowa",106200,5002,4.70998116760829
"23","19067","Floyd County, Iowa",107700,7380,6.85236768802228
"24","19069","Franklin County, Iowa",93200,8321,8.92811158798283
"25","19071","Fremont County, Iowa",113200,8013,7.07862190812721
"26","19073","Greene County, Iowa",93500,6362,6.80427807486631
"27","19075","Grundy County, Iowa",138100,8555,6.19478638667632
"28","19077","Guthrie County, Iowa",129000,13637,10.5713178294574
"29","19079","Hamilton County, Iowa",105200,6408,6.09125475285171
"30","19081","Hancock County, Iowa",100900,7420,7.35381565906838
"31","19083","Hardin County, Iowa",95100,4696,4.93796004206099
"32","19085","Harrison County, Iowa",124000,6672,5.38064516129032
"33","19087","Henry County, Iowa",118500,6109,5.15527426160338
"34","19089","Howard County, Iowa",105800,8894,8.40642722117202
"35","19091","Humboldt County, Iowa",109200,7828,7.16849816849817
"36","19093","Ida County, Iowa",102400,8998,8.787109375
"37","19095","Iowa County, Iowa",156000,6510,4.17307692307692
"38","19097","Jackson County, Iowa",127600,9290,7.28056426332288
"39","19101","Jefferson County, Iowa",120600,10186,8.44610281923715
"40","19103","Johnson County, Iowa",238600,5238,2.19530595138307
"41","19107","Keokuk County, Iowa",95800,5878,6.1356993736952
"42","19111","Lee County, Iowa",98400,3248,3.30081300813008
"43","19113","Linn County, Iowa",161600,3084,1.90841584158416
"44","19117","Lucas County, Iowa",94200,7172,7.6135881104034
"45","19119","Lyon County, Iowa",160700,9290,5.7809583074051
"46","19123","Mahaska County, Iowa",113100,5402,4.7763041556145
"47","19127","Marshall County, Iowa",104400,5457,5.22701149425287
"48","19129","Mills County, Iowa",178500,10422,5.83865546218487
"49","19133","Monona County, Iowa",90000,8900,9.88888888888889
"50","19135","Monroe County, Iowa",113800,15681,13.7794376098418
"51","19139","Muscatine County, Iowa",135400,6799,5.02141802067947
"52","19143","Osceola County, Iowa",96600,8294,8.58592132505176
