"GEOID","TypicalRenterCosts","TypicalOwnerCosts","AgingHousingStock","AffordabilityIndex","HousingPriceDispersion","CostBurdenOwner","CostBurdenRenter","HomeOwnerShipRate","RentalUnitRatio","MultiFamShare"
19001,575,729,35.6,2.48506945221106,2.35961272475795,9.1,30.3,69.9,0.317376437674852,7.2
19003,679,649,46.6,2.01530043821643,3.72553191489362,13.2,19.2,80.8,0.194837123540258,4.1
19005,629,681,29.2,3.07288307380448,2.87974683544304,11.2,42.6,80.1,0.222465108458046,9
19007,661,636,35.6,2.03592814371257,3.16666666666667,15.1,50.5,72.4,0.327174749807544,11.7
19009,606,557,42.3,2.12273059199758,3.03703703703704,5.4,42.5,75,0.271646228167967,3.7
19011,695,974,32.3,3.26664196616031,2.34671890303624,17,40.7,81.8,0.196584513875412,4.6
19013,818,890,19,3.4079822113312,2.33541017653167,9.9,49.4,65.6,0.370079330845258,16.4
19015,747,947,37.3,3.11574667432713,2.37021716649431,12.5,35.3,78.2,0.246643829275067,12.2
19017,677,913,31.6,3.21219493651638,2.30606860158311,8.4,39.3,83.1,0.189669421487603,10.3
19019,691,801,27.6,3.23645075261041,2.22421052631579,7.7,31.3,80,0.230845895104024,7.9
19021,706,694,28.8,3.08398277276456,2.40915032679739,7.2,37.8,64.5,0.386471518987342,15.2
19023,628,733,39.2,2.64176675025296,2.35148514851485,11.5,40.2,77.3,0.259223143182188,5.2
19025,591,581,33.1,1.99478001491424,2.89520426287744,5,42.3,78.7,0.236656105288813,8.6
19027,610,707,27.1,3.14983876095744,2.45272525027809,8.4,42.5,76.2,0.264940469309906,8.5
19029,633,691,41.2,2.49493797565574,2.5997171145686,12.2,38.8,72.7,0.306219284866972,10.4
19031,700,958,38.1,3.42683054942746,2.35124760076775,13.8,31,80.4,0.216407922912206,8.5
19033,711,796,30.4,2.76916542790401,2.69073405535499,10.5,41.7,69.6,0.319195969566111,13.6
19035,536,633,38.3,2.57281234248647,2.88484848484848,6.5,40.7,73.7,0.268265055691901,7.5
19037,638,712,33.8,2.74638692539733,2.4275092936803,8.8,32.3,82.1,0.200704914822792,4.9
19039,601,843,29.7,2.69010210266213,2.79043600562588,11.5,49.6,69.3,0.325316455696203,11.2
