County,ACSVacancyPercentage,,,
Adair,13.26503101,,,
Adams,19.09497762,,,
Allamakee,23.91248721,,,
Appanoose,21.73520108,,,
Audubon,9.939759036,,,
Benton,7.8752123,,,
Black Hawk,8.362692698,,,
Boone,10.11899809,,,
Bremer,7.835856422,,,
Buchanan,11.91704159,,,
Buena Vista,8.538350217,,,
Butler,9.567901235,,,
Calhoun,19.67501958,,,
Carroll,9.118604895,,,
Cass,10.36001823,,,
Cedar,9.36438622,,,
Cerro Gordo,13.02092649,,,
Cherokee,7.621206836,,,
Chickasaw,10.43493511,,,
Clarke,8.670520231,,,
Clay,10.98649301,,,
Clayton,17.19040841,,,
Clinton,11.92457267,,,
Crawford,9.620826259,,,
Dallas,6.317350208,,,
Davis,11.66018878,,,
Decatur,15.85777316,,,
Delaware,14.71386285,,,
Des Moines,9.471874496,,,
Dickinson,39.64265376,,,
Dubuque,6.895804229,,,
Emmet,16.37913116,,,
Fayette,14.480533,,,
Floyd,8.875974112,,,
Franklin,13.4337598,,,
Fremont,14.28571429,,,
Greene,11.1966564,,,
Grundy,7.571147306,,,
Guthrie,23.15084949,,,
Hamilton,14.96041117,,,
Hancock,10.38936728,,,
Hardin,12.30318565,,,
Harrison,10.86733948,,,
Henry,9.792038027,,,
Howard,14.21389397,,,
Humboldt,11.51655769,,,
Ida,13.85507246,,,
Iowa,9.676542539,,,
Jackson,14.75153662,,,
Jasper,10.36297974,,,
Jefferson,10.6607585,,,
Johnson,6.888953945,,,
Jones,8.9432703,,,
Keokuk,11.2704918,,,
Kossuth,12.63619453,,,
Lee,11.68463197,,,
Linn,6.853563486,,,
Louisa,14.2208177,,,
Lucas,11.45510836,,,
Lyon,9.426148689,,,
Madison,6.682644861,,,
Mahaska,9.56231679,,,
Marion,5.238095238,,,
Marshall,8.633178957,,,
Mills,11.04936254,,,
Mitchell,10.32684981,,,
Monona,15.56214271,,,
Monroe,19.28820309,,,
Montgomery,14.1954023,,,
Muscatine,9.099401066,,,
O'Brien,10.68599611,,,
Osceola,10,,,
Page,10.79276773,,,
Palo,19.19895516,,,
Plymouth,5.592225889,,,
Pocahontas,14.49275362,,,
Polk,6.361765715,,,
Pottawattamie,7.886191047,,,
Poweshiek,14.55240175,,,
Ringgold,29.38697318,,,
Sac,19.52575028,,,
Scott,9.676944095,,,
Shelby,8.99946111,,,
Sioux,4.996162701,,,
Story,6.556328849,,,
Tama,13.50796097,,,
Taylor,17.32689211,,,
Union,12.43052046,,,
Van,18.54595336,,,
Wapello,10.42288557,,,
Warren,5.014749263,,,
Washington,9.215505779,,,
Wayne,18.125,,,
Webster,8.507270169,,,
Winnebago,12.77660189,,,
Winneshiek,8.248223801,,,
Woodbury,6.906135909,,,
Worth,9.093492469,,,
Wright,14.10986306,,,
