FIPS,EvictionFilings2021.2019
19001,-41.17647059
19003,NA
19005,-38.0952381
19007,-25
19009,-25
19011,11.62790698
19013,-35.63218391
19015,-47.61904762
19017,-58.06451613
19019,-29.16666667
19021,NA
19023,-10
19025,NA
19027,33.33333333
19029,-80.64516129
19031,-26.31578947
19033,872.7272727
19035,-33.33333333
19037,-16.66666667
19039,NA
19041,4
19043,30
19045,-26.97095436
19047,-59.375
19049,-33.18077803
19051,-81.81818182
19053,NA
19055,-40
19057,-28.125
19059,-25.80645161
19061,-22.29885057
19063,50
19065,-9.090909091
19067,-10
19069,0
19071,33.33333333
19073,0
19075,-38.46153846
19077,-55.55555556
19079,47.36842105
19081,50
19083,26.31578947
19085,-50
19087,40.42553191
19089,-18.75
19091,19.04761905
19093,-92.30769231
19095,-12
19097,-16.66666667
19099,7.142857143
19101,-24.65753425
19103,-25.41666667
19105,-15.38461538
19107,-39.28571429
19109,-25
19111,-37.67123288
19113,-26.41843972
19115,NA
19117,NA
19119,-62.5
19121,-44
19123,-27.77777778
19125,-11.76470588
19127,-25.11415525
19129,-11.76470588
19131,-50
19133,NA
19135,-79.16666667
19137,-62.22222222
19139,0.8
19141,-18.91891892
19143,60
19145,-31.03448276
19147,200
19149,23.80952381
19151,0
19153,-26.24599909
19155,-34.69150175
19157,-23.72881356
19159,-66.66666667
19161,133.3333333
19163,-34.62962963
19165,-6.666666667
19167,-30
19169,-14.1509434
19171,8
19173,-70
19175,-28.125
19177,25
19179,-44.33497537
19181,NA
19183,-24.13793103
19185,NA
19187,2.824858757
19189,-65.2173913
19191,44.44444444
19193,-33.57400722
19195,0
19197,-14.28571429
