fips,PrcntChangeFMR2016_2020,PrcntChangeFMR2020_2022,PrcntChangeEmployTotal2016_2020,PrcntChangeEmployWage2016_2020
19001,10.98546042,7.569141194,0.580146111,1.642036125
19003,10.98546042,21.54294032,-4.389815628,-6.913756237
19005,10.98546042,7.569141194,-6.931652933,-6.204447767
19007,10.98546042,7.569141194,-5.075996559,-4.566022213
19009,10.98546042,7.569141194,-6.241997439,-2.917620137
19011,10.98546042,7.569141194,-4.60755677,-0.11153601
19013,4.663923182,16.51376147,-4.793392037,-5.155048693
19015,17.53554502,8.870967742,-7.750879966,-9.463290644
19017,5.855161787,16.59388646,-4.137282558,-4.741260031
19019,7.73993808,14.65517241,-0.87124879,1.711419298
19021,10.09615385,9.898107715,-1.214057508,-0.044738726
19023,10.98546042,7.569141194,-4.562682216,-1.376848547
19025,10.98546042,7.569141194,-9.254646484,-7.651301348
19027,10.98546042,7.569141194,-6.066807102,-6.88865254
19029,10.98546042,7.569141194,-8.161157025,-7.759290935
19031,15.52795031,10.08064516,-6.403940887,-7.085124678
19033,10.64139942,8.168642951,-3.847637416,-2.68197727
19035,10.98546042,7.569141194,-0.356457362,1.178288584
19037,10.98546042,7.569141194,-2.51177394,-0.15910899
19039,9.710144928,12.15323646,-5.141814563,-4.199648197
19041,10.98546042,11.79039301,-3.188839063,-3.286436579
19043,10.98546042,8.733624454,-4.57303269,-5.698401668
19045,9.940652819,7.557354926,-10.28960696,-11.60639193
19047,10.98546042,7.569141194,-5.932880543,-4.664879357
19049,6.63507109,3.888888889,8.132268857,7.433158749
19051,10.14263074,6.330935252,-3.653295129,-1.784897025
19053,10.98546042,7.569141194,-3.678377741,-1.111522786
19055,10.98546042,7.569141194,-0.949605115,-0.522377524
19057,16.37931034,7.901234568,-9.740752793,-10.80072091
19059,20,16.4,-6.4497511,-6.407121197
19061,10.74964639,6.513409962,-3.506120598,-3.292438246
19063,10.98546042,7.569141194,-9.529724933,-10.21686747
19065,10.98546042,7.569141194,-5.736036116,-5.492108302
19067,10.98546042,7.569141194,-8.426842684,-7.794676806
19069,10.98546042,7.569141194,-5.421591805,-3.963414634
19071,10.98546042,7.569141194,-2.130294773,-1.061571125
19073,10.98546042,7.569141194,-6.460723742,-6.300653595
19075,4.663923182,16.51376147,-0.493218249,1.840633737
19077,6.63507109,3.888888889,-3.024606972,-2.189781022
19079,7.750759878,13.96332863,-6.167503796,-5.410723069
19081,10.98546042,7.569141194,-10.12074643,-12.59954494
19083,10.98546042,7.569141194,-8.37433671,-8.300662431
19085,13.15789474,2.959830867,-6.856330014,-7.506527415
19087,14.70113086,9.577464789,-5.564451561,-5.117948718
19089,10.98546042,7.569141194,-3.846153846,-2.561117579
19091,10.98546042,7.569141194,-6.32846963,-9.19160971
19093,10.98546042,7.569141194,0.019305019,0.96807954
19095,10.98546042,7.569141194,-6.142803173,-6.204344015
19097,10.98546042,7.569141194,-6.530494822,-7.373752421
19099,10.82317073,4.126547455,-4.937901242,-3.971981871
19101,3.916083916,4.845222073,-6.122974016,-4.952887171
19103,17.14947856,5.143422354,-3.44750411,-4.208307629
19105,3.619909502,7.569141194,-6.243634141,-7.260726073
19107,10.98546042,7.569141194,-3.637170104,-1.741884402
19109,10.98546042,7.569141194,-8.583807203,-8.161605206
19111,8.320251177,8.84057971,-11.90701191,-12.36012788
19113,6.292749658,4.761904762,-4.186474277,-4.469051046
19115,6.015037594,4.822695035,-1.983002833,-0.248323814
19117,27.46365105,11.28010139,3.50808041,7.646726862
19119,10.98546042,7.569141194,-3.186646434,-1.861645864
19121,6.63507109,3.888888889,-0.810395417,-1.553398058
19123,4.776119403,6.41025641,-4.776326036,-4.610917538
19125,3.08988764,13.76021798,-0.062034739,1.001836701
19127,16.28959276,5.058365759,-10.66005578,-11.15525016
19129,13.15789474,2.959830867,-5.836120401,-5.969779539
19131,10.98546042,7.569141194,0.030487805,5.720492397
19133,10.98546042,7.569141194,-8.147000221,-8.182427901
19135,14.28571429,7.361111111,-1.119104716,1.633542064
19137,10.98546042,7.569141194,-9.14866582,-5.464106081
19139,10.3861518,13.99276236,-7.563730461,-8.226231502
19141,10.98546042,7.569141194,-3.980789755,-3.672643146
19143,10.98546042,7.569141194,-3.047775947,-0.562248996
19145,10.98546042,7.569141194,-4.849969382,-6.38634208
19147,10.98546042,7.569141194,-5.66712049,-7.880698351
19149,9.394904459,7.569141194,1.495834385,2.109202245
19151,10.98546042,7.569141194,-1.453677587,1.117140121
19153,6.63507109,3.888888889,-1.326650782,-1.650873868
