FIPS,EvictionFilings2021/2019,,,,,,,,,
19001,13.5,,,,,,,,,
19003,2,,,,,,,,,
19005,17,,,,,,,,,
19007,24.5,,,,,,,,,
19009,3.5,,,,,,,,,
19011,45.5,,,,,,,,,
19013,1072.5,,,,,,,,,
19015,80,,,,,,,,,
19017,22,,,,,,,,,
19019,41,,,,,,,,,
19021,8,,,,,,,,,
19023,9.5,,,,,,,,,
19025,1,,,,,,,,,
19027,17.5,,,,,,,,,
19029,18.5,,,,,,,,,
19031,16.5,,,,,,,,,
19033,59,,,,,,,,,
19035,10,,,,,,,,,
19037,11,,,,,,,,,
19039,7,,,,,,,,,
19041,25.5,,,,,,,,,
19043,11.5,,,,,,,,,
19045,208.5,,,,,,,,,
19047,22.5,,,,,,,,,
19049,364.5,,,,,,,,,
19051,6.5,,,,,,,,,
19053,1,,,,,,,,,
19055,12,,,,,,,,,
19057,165,,,,,,,,,
19059,27,,,,,,,,,
19061,386.5,,,,,,,,,
19063,2.5,,,,,,,,,
19065,42,,,,,,,,,
19067,38,,,,,,,,,
19069,28,,,,,,,,,
19071,3.5,,,,,,,,,
19073,1,,,,,,,,,
19075,10.5,,,,,,,,,
19077,13,,,,,,,,,
19079,23.5,,,,,,,,,
19081,7.5,,,,,,,,,
19083,21.5,,,,,,,,,
19085,1.5,,,,,,,,,
19087,56.5,,,,,,,,,
19089,14.5,,,,,,,,,
19091,23,,,,,,,,,
19093,7,,,,,,,,,
19095,23.5,,,,,,,,,
19097,27.5,,,,,,,,,
19099,130.5,,,,,,,,,
19101,64,,,,,,,,,
19103,628.5,,,,,,,,,
19105,48,,,,,,,,,
19107,22.5,,,,,,,,,
19109,10.5,,,,,,,,,
19111,118.5,,,,,,,,,
19113,1468.5,,,,,,,,,
19115,1,,,,,,,,,
19119,5.5,,,,,,,,,
19121,19.5,,,,,,,,,
19123,62,,,,,,,,,
19125,80,,,,,,,,,
19127,191.5,,,,,,,,,
19129,16,,,,,,,,,
19131,7.5,,,,,,,,,
19133,6,,,,,,,,,
19135,14.5,,,,,,,,,
19137,31,,,,,,,,,
19139,125.5,,,,,,,,,
19141,33.5,,,,,,,,,
19143,6.5,,,,,,,,,
19145,24.5,,,,,,,,,
19147,2,,,,,,,,,
19149,23.5,,,,,,,,,
19151,4,,,,,,,,,
19153,5699.5,,,,,,,,,
19155,710,,,,,,,,,
19157,52,,,,,,,,,
19159,4,,,,,,,,,
19161,5,,,,,,,,,
19163,1339.5,,,,,,,,,
19165,14.5,,,,,,,,,
19167,8.5,,,,,,,,,
19169,394,,,,,,,,,
19171,26,,,,,,,,,
19173,6.5,,,,,,,,,
19175,27.5,,,,,,,,,
19177,9,,,,,,,,,
19179,158,,,,,,,,,
19181,62,,,,,,,,,
19183,25.5,,,,,,,,,
19187,179.5,,,,,,,,,
19189,15.5,,,,,,,,,
19191,11,,,,,,,,,
19193,691.5,,,,,,,,,
19195,12,,,,,,,,,
19197,19.5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
