County,EvictionFilings2021/2019
Adair,13.5
Adams,2
Allamakee,17
Appanoose,24.5
Audubon,3.5
Benton,45.5
Black Hawk,1072.5
Boone,80
Bremer,22
Buchanan,41
Buena Vista,8
Butler,9.5
Calhoun,1
Carroll,17.5
Cass,18.5
Cedar,16.5
Cerro Gordo,59
Cherokee,10
Chickasaw,11
Clarke,7
Clay,25.5
Clayton,11.5
Clinton,208.5
Crawford,22.5
Dallas,364.5
Davis,6.5
Decatur,1
Delaware,12
Des Moines,165
Dickinson,27
Dubuque,386.5
Emmet,2.5
Fayette,42
Floyd,38
Franklin,28
Fremont,3.5
Greene,1
Grundy,10.5
Guthrie,13
Hamilton,23.5
Hancock,7.5
Hardin,21.5
Harrison,1.5
Henry,56.5
Howard,14.5
Humboldt,23
Ida,7
Iowa,23.5
Jackson,27.5
Jasper,130.5
Jefferson,64
Johnson,628.5
Jones,48
Keokuk,22.5
Kossuth,10.5
Lee,118.5
Linn,1468.5
Louisa,1
Lyon,5.5
Madison,19.5
Mahaska,62
Marion,80
Marshall,191.5
Mills,16
Mitchell,7.5
Monona,6
Monroe,14.5
Montgomery,31
Muscatine,125.5
Obrien,33.5
Osceola,6.5
Page,24.5
Palo Alto,2
Plymouth,23.5
Pocahontas,4
Polk,5699.5
Pottawattamie,710
Poweshiek,52
Ringgold,4
Sac,5
Scott,1339.5
Shelby,14.5
Sioux,8.5
Story,394
Tama,26
Taylor,6.5
Union,27.5
Van Buren,9
Wapello,158
Warren,62
Washington,25.5
Webster,179.5
Winnebago,15.5
Winneshiek,11
Woodbury,691.5
Worth,12
Wright,19.5
