"FIPS","MedianValue"
"19001",111100
"19003",81400
"19005",133400
"19007",85000
"19009",84300
"19011",158700
"19013",150200
"19015",141000
"19017",169000
"19019",143200
"19021",120300
"19023",120100
"19025",85600
"19027",138700
"19029",107200
"19031",163100
"19033",130400
"19035",117400
"19037",122000
"19039",115400
"19041",129700
"19043",131600
"19045",120200
"19047",101100
"19049",258300
"19051",117900
"19053",82800
"19055",141300
"19057",111600
"19059",199800
"19061",175300
"19063",90000
"19065",106200
"19067",107700
"19069",93200
"19071",113200
"19073",93500
"19075",138100
"19077",129000
"19079",105200
"19081",100900
"19083",95100
"19085",124000
"19087",118500
"19089",105800
"19091",109200
"19093",102400
"19095",156000
"19097",127600
"19099",137200
"19101",120600
"19103",238600
"19105",140000
"19107",95800
"19109",109400
"19111",98400
"19113",161600
"19115",107900
"19117",94200
"19119",160700
"19121",186700
"19123",113100
"19125",160100
"19127",104400
"19129",178500
"19131",120400
"19133",90000
"19135",113800
"19137",85300
"19139",135400
"19141",116300
"19143",96600
"19145",96400
"19147",107300
"19149",172600
"19151",81900
"19153",190400
"19155",141300
"19157",148200
"19159",113000
"19161",101200
"19163",167900
"19165",120700
"19167",182500
"19169",195200
"19171",114400
"19173",84100
"19175",109600
"19177",91200
"19179",87400
"19181",196100
"19183",158600
"19185",79900
"19187",107900
"19189",96200
"19191",183300
"19193",131300
"19195",107600
"19197",86100
