"GEOID","NAME","GrossRentE","GrossRentM","MedianMontlyCostOwnerE","MedianMontlyCostOwnerM","MedianValueOwnerE","MedianValueOwnerM","UpperQuartileValueE","UpperQuartileValueM","LowerQuartileValueE","LowerQuartileValueM","ForRentE","ForRentM","RenderNotOccupiedE","RenderNotOccupiedM","MedianEarningsE","MedianEarningsM","PercentHouseholdsBuildPre1940E","PercentHouseholdsBuildPre1940M","OwnerCostOver35PIncomeE","OwnerCostOver35PIncomeM","OwnerCost30_35PIncomeE","OwnerCost30_35PIncomeM","RenterCostOver35PIncomeE","RenterCostOver35PIncomeM","RenterCost30_35PIncomeE","RenterCost30_35PIncomeM","HomeOwnerShipRateE","HomeOwnerShipRateM","MultiFam2UnitsE","MultiFam2UnitsM","MUltiFam3_4UnitsE","MUltiFam3_4UnitsM","MultiFam5_9UnitsE","MultiFam5_9UnitsM","MultiFam10_19UnitsE","MultiFam10_19UnitsM","MultiFam20UnitsE","MultiFam20UnitsM","OccupiedHousingUnitsE","OccupiedHousingUnitsM","RenterOCCUPIEDE","RenterOCCUPIEDM"
"19001","Adair County, Iowa",575,54,729,49,111100,5490,170600,11146,72300,4803,54,36,0,14,44707,2299,35.6,3.8,7.8,2.8,1.3,0.9,21.8,6.1,8.5,6.3,69.9,3,2.8,1.5,2.5,1.3,1.3,0.9,0,0.6,0.6,0.7,3217,121,967,111
"19003","Adams County, Iowa",679,78,649,62,81400,6443,175100,22352,47000,4844,5,8,0,10,40391,1590,46.6,4.3,10.8,5,2.4,2.1,8,6,11.2,7.4,80.8,3.8,1.5,1.2,1.3,0.8,0,1.1,0,1.1,1.3,0.9,1627,93,312,71
"19005","Allamakee County, Iowa",629,39,681,67,133400,12149,227500,17647,79000,5612,99,62,41,49,43412,1581,29.2,3.3,7.9,2.5,3.3,1.9,31.6,9.1,11,6.2,80.1,2.5,3.6,1.3,2,0.9,0.8,0.7,0.1,0.1,2.5,0.9,5947,207,1183,163
"19007","Appanoose County, Iowa",661,42,636,48,85000,5907,153900,13602,48600,4797,174,101,92,89,41750,1954,35.6,3.7,12.2,4,2.9,1.4,38.4,9.7,12.1,6.1,72.4,3.1,3,1.5,3.2,1.7,3,1.3,0,0.1,2.5,0.8,5196,214,1434,180
"19009","Audubon County, Iowa",606,50,557,33,84300,5317,155800,8440,51300,4510,59,40,0,14,39713,1905,42.3,4.2,3.7,1.6,1.7,1.1,31.1,11.1,11.4,7.2,75,3.6,1.1,0.7,2.1,1,0,0.7,0,0.7,0.5,0.4,2691,99,672,101
"19011","Benton County, Iowa",695,63,974,44,158700,6751,239600,8902,102100,4590,76,51,77,84,48582,1384,32.3,2.5,15.6,5.1,1.4,1.2,23.1,6.3,17.6,6,81.8,2.3,1,0.4,1,0.4,0.8,0.5,0,0.2,1.8,0.5,10306,218,1873,242
"19013","Black Hawk County, Iowa",818,20,890,24,150200,3342,224900,7020,96300,3022,975,248,427,136,44073,1226,19,1.1,7.7,1.4,2.2,1.2,38,2.4,11.4,1.8,65.6,1.1,3.3,0.6,4.2,0.7,6,0.6,0.1,0.1,2.8,0.6,53321,508,18331,638
"19015","Boone County, Iowa",747,40,947,46,141000,7092,229200,13503,96700,8811,213,137,94,89,45254,2909,37.3,2.7,8.8,2.4,3.7,3,22.8,4.6,12.5,5.2,78.2,2.3,2.7,1,2.4,0.9,5.6,1.5,0,0.2,1.5,0.5,10801,272,2357,280
"19017","Bremer County, Iowa",677,75,913,45,169000,6165,262200,9585,113700,4646,156,99,46,48,52612,1460,31.6,2.4,7.2,1.8,1.2,0.9,28.6,6.4,10.7,4,83.1,1.7,1.4,0.6,1.5,0.7,4,1.2,0,0.2,3.4,1.2,9680,195,1634,172
"19019","Buchanan County, Iowa",691,53,801,56,143200,5422,211300,13049,95000,6996,222,112,26,27,44246,2173,27.6,2.4,6.1,2.1,1.6,0.9,26,6.4,5.3,2.3,80,2.2,2.2,1,1.1,0.6,1.7,0.9,0,0.1,2.9,0.8,8027,214,1605,179
"19021","Buena Vista County, Iowa",706,32,694,66,120300,7363,184300,8352,76500,9676,240,116,0,16,39008,2282,28.8,3.1,6.4,1.9,0.8,0.5,22.3,7.7,15.5,5,64.5,3,3.3,2.6,4.5,2,5.6,1.8,0,0.3,1.8,1.2,7584,147,2691,242
"19023","Butler County, Iowa",628,58,733,29,120100,4978,190000,16417,80800,2722,169,58,29,35,45462,1628,39.2,2.5,9.7,2.7,1.8,1.1,31.6,6.1,8.6,3.6,77.3,2.1,2,0.8,1.7,0.7,0.8,0.5,0,0.3,0.7,0.5,6153,126,1397,138
"19025","Calhoun County, Iowa",591,27,581,27,85600,3123,163000,10925,56300,4667,81,39,16,18,42912,2735,33.1,3,3.6,1.4,1.4,0.7,30.2,6.2,12.1,4.5,78.7,2.4,1.4,0.7,2.7,0.9,2.7,0.6,0.6,0.8,1.2,0.9,4103,189,874,115
"19027","Carroll County, Iowa",610,35,707,47,138700,7274,220500,11312,89900,3963,208,106,23,28,44034,2035,27.1,2.3,6.1,2,2.3,1.5,28.8,6.2,13.7,5.5,76.2,2.7,1.5,0.7,2.8,1.1,3,0.9,0,0.2,1.2,0.4,8651,257,2061,250
"19029","Cass County, Iowa",633,51,691,50,107200,10451,183800,9359,70700,4134,179,114,16,20,42967,1935,41.2,3.4,10.9,4.4,1.3,0.9,25.3,8,13.5,5.9,72.7,2.9,4.3,1.7,2.6,1.1,3.1,1.3,0,0.3,0.4,0.4,5901,165,1612,189
"19031","Cedar County, Iowa",700,53,958,53,163100,6151,245000,15112,104200,6085,147,73,6,15,47595,2075,38.1,2.9,8.6,3.1,5.2,2.4,22.3,6.2,8.7,3.1,80.4,2,2,0.7,3.1,1,0.2,0.2,0.3,0.4,2.9,1.1,7472,179,1464,155
"19033","Cerro Gordo County, Iowa",711,22,796,34,130400,4832,223600,9026,83100,2728,270,144,21,25,47090,2456,30.4,2,7.7,2.9,2.8,1.1,26.9,4.6,14.8,3.9,69.6,1.9,2.6,0.8,4.3,1,5.8,0.9,0,0.1,0.9,0.4,19452,428,5918,409
"19035","Cherokee County, Iowa",536,19,633,46,117400,13089,190400,14664,66000,6050,18,20,12,13,45631,2068,38.3,3.7,4.9,2.2,1.6,1,24.1,10.5,16.6,8.4,73.7,3.4,1.5,1.2,0.9,0.7,3.8,1.8,0,0.4,1.3,0.9,5297,147,1391,196
"19037","Chickasaw County, Iowa",638,58,712,50,122000,7814,195900,14069,80700,3398,87,54,22,24,44422,2507,33.8,2.8,6.2,2.3,2.6,1.4,24,9.1,8.3,6.5,82.1,2.6,1.2,0.8,2.3,1.1,0.6,0.3,0,0.4,0.8,0.8,5107,141,916,139
"19039","Clarke County, Iowa",601,157,843,102,115400,14580,198400,38937,71100,7511,38,61,33,43,42898,4219,29.7,5,7.2,3.8,4.3,3.5,44.6,10.5,5,4.5,69.3,4.8,3.6,2.5,2.8,2.3,1.3,1.3,2.1,1.3,1.4,1.6,3950,152,1214,199
"19041","Clay County, Iowa",693,37,838,49,129700,13250,210300,16584,85500,4654,214,152,0,16,43562,2270,28.6,4.1,13.4,5.6,5.5,3.7,30.9,7.8,18.2,6.9,67.5,3.2,2.6,1.6,6.6,2.4,3.4,1.5,0,0.3,1.5,0.8,7381,261,2398,263
"19043","Clayton County, Iowa",656,36,713,45,131600,8443,198500,13548,79700,4169,154,66,4,7,42536,1588,36.8,2.2,12,4.1,2.1,1,24,4.9,9.6,3.7,73.4,2.5,4.2,0.8,2,0.6,2,0.5,0.2,0.2,1.2,0.6,7563,215,2013,196
"19045","Clinton County, Iowa",659,30,848,33,120200,3769,174500,6127,78700,2777,504,159,192,131,45065,1547,34.9,1.9,9.5,2.5,2.9,1.2,38.4,4.8,12.7,4.6,74.1,1.8,2.5,0.8,3.1,0.9,5.3,0.8,0,0.1,1.6,0.7,19477,368,5036,378
"19047","Crawford County, Iowa",643,28,689,47,101100,9906,179200,23602,61200,6840,66,66,12,13,41415,1455,40.1,3.8,6,2.2,1.9,1.4,35.3,8.4,6.7,4.4,69.4,4.2,4.7,2.3,1.7,1.4,1.5,1.3,0.2,0.3,0.9,0.7,6388,149,1955,271
"19049","Dallas County, Iowa",1064,36,1444,56,258300,8948,383400,9076,157200,6242,822,431,158,114,63700,1897,10,1,7.6,2.7,2.5,1.4,30.3,4.7,10.5,2.7,72.2,1.6,0.9,0.3,2.9,0.7,11.2,1.4,0.2,0.2,17.5,1.6,35383,446,9833,579
"19051","Davis County, Iowa",722,44,872,110,117900,4976,180500,29111,85100,4964,44,36,0,14,48019,4137,28.7,3.8,7.6,3.6,7.7,4.1,18.5,8.9,13.1,7.3,84.6,3.4,0.9,0.7,1.7,0.9,0.1,0.2,0,0.6,3.2,1.8,3182,130,489,115
