GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19001,"Adair, IA",240,Total employment (number of jobs),4442,4524,4592,4590,4540,4591,4654,4527,4620,4697,4681
19001,"Adair, IA",250,  Wage and salary employment,2939,2963,3002,3033,2960,3039,3045,2952,2990,3086,3095
19003,"Adams, IA",240,Total employment (number of jobs),2270,2232,2221,2235,2255,2350,2278,2198,2267,2312,2178
19003,"Adams, IA",250,  Wage and salary employment,1391,1376,1382,1364,1371,1451,1403,1343,1359,1427,1306
19005,"Allamakee, IA",240,Total employment (number of jobs),8162,8179,8127,8296,8252,8235,8252,8110,8062,7975,7680
19005,"Allamakee, IA",250,  Wage and salary employment,5341,5342,5368,5447,5380,5392,5351,5343,5307,5266,5019
19007,"Appanoose, IA",240,Total employment (number of jobs),6909,6979,7002,6888,7130,7180,6974,6906,6845,6740,6620
19007,"Appanoose, IA",250,  Wage and salary employment,4647,4621,4661,4596,4784,4903,4862,4846,4714,4730,4640
19009,"Audubon, IA",240,Total employment (number of jobs),3218,3168,3109,3125,3083,3037,3124,3062,3042,3000,2929
19009,"Audubon, IA",250,  Wage and salary employment,1888,1819,1782,1752,1715,1704,1748,1705,1718,1750,1697
19011,"Benton, IA",240,Total employment (number of jobs),10043,10251,10251,10253,10194,10311,10613,10459,10366,10397,10124
19011,"Benton, IA",250,  Wage and salary employment,6172,6197,6271,6193,6109,6239,6276,6309,6352,6477,6269
19013,"Black Hawk, IA",240,Total employment (number of jobs),89339,91173,92645,92964,93203,92313,91647,91530,92734,91527,87254
19013,"Black Hawk, IA",250,  Wage and salary employment,76193,77726,79236,79460,79721,78712,78040,77905,78837,78022,74017
19015,"Boone, IA",240,Total employment (number of jobs),13306,13402,13529,13843,13742,13838,13921,13381,13453,13321,12842
19015,"Boone, IA",250,  Wage and salary employment,9765,9879,9980,10284,10233,10349,10229,9787,9727,9678,9261
19017,"Bremer, IA",240,Total employment (number of jobs),14167,14341,14777,15090,15051,15087,14889,14760,14868,14831,14273
