"","fmr0","fmr1","fmr2","fmr3","fmr4","State","county","Year"
"1",374,416,547,667,746,19,"1","2010"
"2",374,416,547,667,746,19,"3","2010"
"3",388,427,547,709,754,19,"5","2010"
"4",355,415,547,691,757,19,"7","2010"
"5",409,420,547,719,753,19,"9","2010"
"6",355,419,547,681,912,19,"11","2010"
"7",412,507,606,744,911,19,"13","2010"
"8",408,492,627,816,878,19,"15","2010"
"9",359,442,551,660,892,19,"17","2010"
"10",454,455,547,706,725,19,"19","2010"
"11",426,430,563,676,775,19,"21","2010"
"12",388,427,547,709,754,19,"23","2010"
"13",433,434,547,703,735,19,"25","2010"
"14",371,432,570,680,701,19,"27","2010"
"15",408,498,626,767,826,19,"29","2010"
"16",387,427,563,728,788,19,"31","2010"
"17",413,459,604,750,771,19,"33","2010"
"18",409,420,547,719,753,19,"35","2010"
"19",388,427,547,709,754,19,"37","2010"
"20",374,427,561,672,748,19,"39","2010"
"21",355,415,547,664,832,19,"41","2010"
"22",388,427,547,709,754,19,"43","2010"
"23",355,416,547,697,796,19,"45","2010"
"24",409,432,547,719,753,19,"47","2010"
"25",506,604,737,944,1052,19,"49","2010"
"26",374,416,547,667,746,19,"51","2010"
"27",374,416,547,667,746,19,"53","2010"
"28",387,427,563,728,788,19,"55","2010"
"29",424,463,587,738,831,19,"57","2010"
"30",354,438,547,692,959,19,"59","2010"
"31",411,442,581,781,851,19,"61","2010"
"32",385,415,547,670,786,19,"63","2010"
"33",388,427,547,709,754,19,"65","2010"
"34",384,415,547,684,705,19,"67","2010"
"35",395,435,547,699,733,19,"69","2010"
"36",408,498,626,767,826,19,"71","2010"
"37",409,420,547,719,753,19,"73","2010"
"38",412,507,606,744,911,19,"75","2010"
"39",506,604,737,944,1052,19,"77","2010"
"40",425,426,547,689,720,19,"79","2010"
"41",395,435,547,699,733,19,"81","2010"
"42",468,470,562,672,715,19,"83","2010"
"43",540,614,766,1023,1052,19,"85","2010"
"44",460,462,553,791,815,19,"87","2010"
"45",388,427,547,709,754,19,"89","2010"
"46",433,434,547,703,735,19,"91","2010"
"47",409,420,547,719,753,19,"93","2010"
"48",423,447,555,726,749,19,"95","2010"
"49",387,427,563,728,788,19,"97","2010"
"50",426,465,611,777,811,19,"99","2010"
"51",457,465,550,692,842,19,"101","2010"
"52",488,582,734,1069,1251,19,"103","2010"
"53",455,456,547,767,790,19,"105","2010"
"54",374,416,547,667,746,19,"107","2010"
"55",395,435,547,699,733,19,"109","2010"
"56",399,464,547,694,713,19,"111","2010"
"57",429,499,658,932,1059,19,"113","2010"
"58",419,469,580,751,794,19,"115","2010"
"59",374,416,547,667,746,19,"117","2010"
"60",385,415,547,670,786,19,"119","2010"
"61",506,604,737,944,1052,19,"121","2010"
"62",404,458,584,700,923,19,"123","2010"
"63",408,501,626,773,796,19,"125","2010"
"64",417,484,604,777,892,19,"127","2010"
"65",540,614,766,1023,1052,19,"129","2010"
"66",395,435,547,699,733,19,"131","2010"
"67",409,420,547,719,753,19,"133","2010"
"68",374,416,547,667,746,19,"135","2010"
"69",408,498,626,767,826,19,"137","2010"
"70",417,515,640,788,849,19,"139","2010"
"71",385,415,547,670,786,19,"141","2010"
"72",385,415,547,670,786,19,"143","2010"
