COUNTIES,Closed sales,1-Year change,Days on Market,1-Year change,Median Sales Price,1-Year change,Inventory,1-Year change,,
Polk County,735,-5.00%,24,4.30%,"$285,000 ",14.00%,"1,012",-57.70%,,
Dallas County,186,-13.90%,62,44.20%,"$403,845 ",17.90%,489,-42.90%,,
Johnson County,170,-0.60%,36,-29.40%,"$348,200 ",7.20%,318,-1.50%,,
Linn County,277,-3.50%,13,-23.50%,"$211,000 ",7.10%,214,22.30%,,
Scott County,208,-2.30%,17,-41.40%,"$221,250 ",2.90%,207,-8.40%,,
Warren County,77,-4.90%,24,-17.20%,"$314,900 ",41.50%,183,-39.20%,,
Cerro Gordo County,77,-8.30%,84,6.30%,"$150,000 ",13.00%,143,47.40%,,
Black Hawk County,139,-12.00%,13,-50.00%,"$177,000 ",7.90%,134,-18.80%,,
Story County,76,-20.00%,27,3.80%,"$282,000 ",12.50%,118,-44.60%,,
Dubuque County,80,-15.80%,11,-15.40%,"$215,500 ",-2.00%,108,63.60%,,
Webster County,35,2.90%,27,-52.60%,"$147,500 ",26.10%,96,74.50%,,
Pottawattamie County,91,-37.20%,11,0.00%,"$189,900 ",13.40%,85,44.10%,,
Lee County,26,-23.50%,80,37.90%,"$120,250 ",26.60%,85,2.40%,,
Clinton County,42,-26.30%,32,-50.80%,"$137,500 ",26.70%,80,17.60%,,
Woodbury County,88,-8.30%,18,38.50%,"$189,975 ",9.20%,79,6.80%,,
Des Moines County,55,0.00%,40,-37.50%,"$157,000 ",41.40%,75,-47.20%,,
Poweshiek County,25,8.70%,44,-15.40%,"$185,000 ",24.20%,69,3.00%,,
Jasper County,46,-14.80%,17,-45.20%,"$180,450 ",4.90%,66,-30.50%,,
Marion County,44,33.30%,32,-11.10%,"$225,950 ",-1.80%,66,-49.60%,,
Muscatine County,8,-11.10%,20,11.10%,"$292,500 ",70.10%,63,26.00%,,
Dickinson County,34,-17.10%,64,-39.00%,"$314,500 ",6.60%,62,44.20%,,
Washington County,23,-11.50%,30,-21.10%,"$234,000 ",41.80%,60,9.10%,,
Wapello County,32,-23.80%,44,0.00%,"$131,500 ",89.20%,58,13.70%,,
Henry County,60,25.00%,33,-29.80%,"$141,450 ",-4.90%,57,-8.10%,,
Union County,22,-21.40%,58,16.00%,"$134,000 ",-19.30%,52,-30.70%,,
Benton County,33,6.50%,28,-39.10%,"$165,000 ",15.00%,52,67.70%,,
Jefferson County,11,-59.30%,39,-35.00%,"$144,500 ",4.00%,51,45.70%,,
Appanoose County,10,0.00%,37,-48.60%,"$136,975 ",43.80%,50,19.00%,,
Clay County,36,9.10%,49,-27.90%,"$160,250 ",-6.80%,49,19.50%,,
Boone County,35,0.00%,33,266.70%,"$185,000 ",29.40%,48,-46.70%,,
Madison County,13,-51.90%,11,-73.20%,"$220,000 ",-5.20%,43,-45.60%,,
Hancock County,18,12.50%,58,-19.40%,"$105,750 ",-28.30%,42,-12.50%,,
Hardin County,23,-11.50%,26,-67.10%,"$177,500 ",94.00%,42,13.50%,,
Marshall County,33,6.50%,17,-15.00%,"$150,000 ",9.50%,39,2.60%,,
Jackson County,17,-22.70%,41,-24.10%,"$184,000 ",18.60%,39,-4.90%,,
Cedar County,12,9.10%,25,-21.90%,"$218,500 ",16.20%,36,16.10%,,
Kossuth County,11,-26.70%,59,13.50%,"$79,900 ",-46.70%,32,-30.40%,,
Guthrie County,18,63.60%,37,19.40%,"$248,750 ",-4.30%,30,-30.20%,,
Franklin County,14,-22.20%,67,-50.00%,"$101,450 ",-12.40%,30,30.40%,,
Winnebago County,14,600.00%,65,-24.40%,"$147,500 ",35.90%,30,36.40%,,
Mahaska County,18,-14.30%,26,-67.90%,"$167,450 ",15.50%,30,7.10%,,
