StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_5_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in Atlantic?,How long have you lived in Atlantic?,What is the main reason you do not live in Atlantic? Select all that apply. - Selected Choice,What is the main reason you do not live in Atlantic? Select all that apply. - Other - Text,What would help you decide to move to Atlantic if you do not currently live here? Select all that apply.,"Thinking about your future housing needs, what type of housing in Atlantic would interest you if you chose to move? Select all that apply.",What price range of house would you be looking for if you wanted a different home in Atlantic or were considering relocating to Atlantic?,Do you work in Atlantic?,Which of the following best describes your living arrangement? - Selected Choice,Which of the following best describes your living arrangement? - Other - Text,What type of structure do you live in? - Selected Choice,What type of structure do you live in? - Other - Text,How much do you spend monthly in housing (mortgage or rent plus utilities)?,How would you rate the condition of your dwelling?,Would you participate in an incentive program to help homeowners and landlords make exterior improvements to their home?,Would you support a rental property registration and inspection program with the city?,"In your experience, what is the main barrier to home ownership in Atlantic? - Selected Choice","In your experience, what is the main barrier to home ownership in Atlantic? - Other - Text",Would you or a family member be interested in living in the following housing options in the future if built in Atlantic? Check all that apply.,Would you be interested in learning more about an investor group for housing projects in Atlantic?,What should be the top priorities for improving housing in Atlantic? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Building more rental housing units,What should be the top priorities for improving housing in Atlantic? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Create a program of assistance and incentives to improve existing housing,What should be the top priorities for improving housing in Atlantic? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Improve infrastructure and amenities for current residents,What should be the top priorities for improving housing in Atlantic? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Build more new single family housing units,What should be the top priorities for improving housing in Atlantic? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other,What should be the top priorities for improving housing in Atlantic? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other - Text,"What is holding Atlantic back from improving housing options, in your opinion?",What are the SPECIFIC ACTIONS that we as a community should take to improve access to quality and affordable housing in Atlantic?,What is your sex or gender?,What is your age?,"How many adults (18 +) live in the household, including yourself?",How many children (0-17) live in the household?,What race or ethnicity do you consider yourself to be?,What income bracket does your household fall under? (Include the income of all who contribute toward the expenses of the household.)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1713026139""}","{""ImportId"":""QID1713026151""}","{""ImportId"":""QID1713026148""}","{""ImportId"":""QID1713026148_5_TEXT""}","{""ImportId"":""QID1713026149""}","{""ImportId"":""QID1713026152""}","{""ImportId"":""QID1713026153""}","{""ImportId"":""QID1713026154""}","{""ImportId"":""QID1713026130""}","{""ImportId"":""QID1713026130_3_TEXT""}","{""ImportId"":""QID1713026131""}","{""ImportId"":""QID1713026131_5_TEXT""}","{""ImportId"":""QID1713026132""}","{""ImportId"":""QID1713026133""}","{""ImportId"":""QID1713026134""}","{""ImportId"":""QID1713026135""}","{""ImportId"":""QID1713026136""}","{""ImportId"":""QID1713026136_5_TEXT""}","{""ImportId"":""QID1713026150""}","{""ImportId"":""QID1713026137""}","{""ImportId"":""QID1713026138_1""}","{""ImportId"":""QID1713026138_2""}","{""ImportId"":""QID1713026138_3""}","{""ImportId"":""QID1713026138_4""}","{""ImportId"":""QID1713026138_5""}","{""ImportId"":""QID1713026138_5_TEXT""}","{""ImportId"":""QID1713026140_TEXT""}","{""ImportId"":""QID1713026141_TEXT""}","{""ImportId"":""QID1713026142""}","{""ImportId"":""QID1713026143""}","{""ImportId"":""QID1713026144""}","{""ImportId"":""QID1713026145""}","{""ImportId"":""QID1713026146""}","{""ImportId"":""QID1713026147""}"
2021-10-13 12:12:00,2021-10-13 12:14:04,Survey Preview,,100,124,True,2021-10-13 12:14:05,R_1jfW1bq0sDhGfYI,,,,,41.6244049072265625,-93.669403076171875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56-70,,,,
2021-10-13 19:38:59,2021-10-13 19:44:10,IP Address,173.18.250.140,100,311,True,2021-10-13 19:44:10,R_vPvJw3PF2Lmni5H,,,,,41.4037933349609375,-95.013702392578125,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$900-$1,199",Excellent,Yes,Yes,Not enough of the right home styles,,,Yes,4,2,3,1,5,,"Funding and lack of developers, possibly lack of City support",Work with developers to provide infrastructure so new developments could be done and build homes on the city's empty lots.,Female,41-55,2,0,White or Caucasian,"$80,000-$99,999"
2021-10-14 14:37:26,2021-10-14 14:41:53,IP Address,23.172.160.42,100,267,True,2021-10-14 14:41:54,R_Rl4XrT3SWTg2ym5,,,,,41.4037933349609375,-95.013702392578125,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Rent,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Do not qualify for a home mortgage,,,Yes,3,2,4,1,5,,Lack of available lots,"Bond for road and infrastructure
Find an outside developer",Female,26 - 40,1,4,White or Caucasian,"$40,000-$59,999"
2021-10-14 14:52:10,2021-10-14 14:57:06,IP Address,23.172.160.42,100,296,True,2021-10-14 14:57:07,R_9EIJWUjJ0PRezwB,,,,,41.4037933349609375,-95.013702392578125,qr,EN,Yes,More than 10 years,,,,,,Yes,Rent,,Single family home,,$500-$699,Good,Yes,Yes,Not enough affordable housing,,Independent Living Complex,Yes,4,2,3,1,5,,"No land ",Not sure,Female,26 - 40,2,2,White or Caucasian,"$80,000-$99,999"
2021-10-14 14:54:13,2021-10-14 14:59:55,IP Address,174.198.68.176,100,341,True,2021-10-14 14:59:55,R_3Dc4ElGoW6ICjKw,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$900-$1,199",Good,Yes,Yes,Not enough quality housing,,,No,5,4,2,3,1,"Kick the trash living here out they are bringing the entire city down, drugs, theft",Trash people. Atlantic is starting to be over run by druggie. Fix this and everything else will fall into place.,Kick the druggies out!!! They raise the cost of any housing especially rental properties due to damages and other liabilities that a landlord becomes responsible for.,Female,26 - 40,2,1,White or Caucasian,"$80,000-$99,999"
2021-10-14 14:58:39,2021-10-14 15:01:24,IP Address,174.255.7.121,100,164,True,2021-10-14 15:01:24,R_tDNFWrNLebPsDbX,,,,,44.9833984375,-93.26219940185546875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Rent,,Apartment,,$300-$499,Fair,Yes,No,Do not qualify for a home mortgage,,Duplex,No,1,3,4,2,5,,,,Female,41-55,1,0,White or Caucasian,"$20,000-$39,999"
2021-10-14 14:59:01,2021-10-14 15:01:45,IP Address,173.19.130.170,100,163,True,2021-10-14 15:01:45,R_ug1O6nTG4CGRKDf,,,,,41.4037933349609375,-95.013702392578125,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,$300-$499,Excellent,No,No,Other,,,No,1,2,3,4,5,,"I am a landlord,  I think the problem lies within tenants trashing units then trying to go rent other places, I am In a landlord group we all share names,  all these people complaining about renting is because they are not good renters
",,Female,41-55,2,0,White or Caucasian,"$100,000-$149,999"
2021-10-14 15:02:38,2021-10-14 15:05:49,IP Address,174.243.112.195,100,191,True,2021-10-14 15:05:49,R_PTh3AGQxmWjAAW5,,,,,41.6020965576171875,-93.612396240234375,anonymous,EN,Yes,1-5 years,,,,,,Yes,Own,,Single family home,,"$1,200-$1,499",Excellent,Yes,Yes,Not enough affordable housing,,,Yes,4,2,3,1,5,,"The City of Atlantic and landowners unwilling to sell lots at affordable prices ",,Female,26 - 40,2,2,White or Caucasian,"$100,000-$149,999"
