StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_5_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in Grinnell?,How long have you lived in Grinnell?,What is the main reason you do not live in Grinnell? Select all that apply. - Selected Choice,What is the main reason you do not live in Grinnell? Select all that apply. - Other - Text,What would help you decide to move to Grinnell if you do not currently live here? Select all that apply.,"Thinking about your future housing needs, what type of housing in Grinnell would interest you if you chose to move? Select all that apply.",What price range of house would you be looking for if you wanted a different home in Grinnell or were considering relocating to Grinnell?,Do you work in Grinnell?,Which of the following best describes your living arrangement? - Selected Choice,Which of the following best describes your living arrangement? - Other - Text,What type of structure do you live in? - Selected Choice,What type of structure do you live in? - Other - Text,How much do you spend monthly in housing (mortgage or rent plus utilities)?,How would you rate the condition of your dwelling?,Would you participate in an incentive program to help homeowners and landlords make exterior improvements to their home?,Would you support a rental property registration and inspection program with the city?,"In your experience, what is the main barrier to home ownership in Grinnell? - Selected Choice","In your experience, what is the main barrier to home ownership in Grinnell? - Other - Text",Would you or a family member be interested in living in the following housing options in the future if built in Grinnell? Check all that apply.,Would you be interested in learning more about an investor group for housing projects in Grinnell?,What should be the top priorities for improving housing in Grinnell? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Building more rental housing units,What should be the top priorities for improving housing in Grinnell? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Create a program of assistance and incentives to improve existing housing,What should be the top priorities for improving housing in Grinnell? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Improve infrastructure and amenities for current residents,What should be the top priorities for improving housing in Grinnell? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Build more new single family housing units,What should be the top priorities for improving housing in Grinnell? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other,What should be the top priorities for improving housing in Grinnell? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other - Text,"What is holding Grinnell back from improving housing options, in your opinion?","What are the SPECIFIC ACTIONS that we, as a community, should take to improve access to quality and affordable housing in Grinnell?",What is your sex or gender?,What is your age?,"How many adults (18 +) live in the household, including yourself?",How many children (0-17) live in the household?,What race or ethnicity do you consider yourself to be?,What income bracket does your household fall under? (Include the income of all who contribute toward the expenses of the household.)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1713026523""}","{""ImportId"":""QID1713026535""}","{""ImportId"":""QID1713026532""}","{""ImportId"":""QID1713026532_5_TEXT""}","{""ImportId"":""QID1713026533""}","{""ImportId"":""QID1713026536""}","{""ImportId"":""QID1713026537""}","{""ImportId"":""QID1713026538""}","{""ImportId"":""QID1713026514""}","{""ImportId"":""QID1713026514_3_TEXT""}","{""ImportId"":""QID1713026515""}","{""ImportId"":""QID1713026515_5_TEXT""}","{""ImportId"":""QID1713026516""}","{""ImportId"":""QID1713026517""}","{""ImportId"":""QID1713026518""}","{""ImportId"":""QID1713026519""}","{""ImportId"":""QID1713026520""}","{""ImportId"":""QID1713026520_5_TEXT""}","{""ImportId"":""QID1713026534""}","{""ImportId"":""QID1713026521""}","{""ImportId"":""QID1713026522_1""}","{""ImportId"":""QID1713026522_2""}","{""ImportId"":""QID1713026522_3""}","{""ImportId"":""QID1713026522_4""}","{""ImportId"":""QID1713026522_5""}","{""ImportId"":""QID1713026522_5_TEXT""}","{""ImportId"":""QID1713026524_TEXT""}","{""ImportId"":""QID1713026525_TEXT""}","{""ImportId"":""QID1713026526""}","{""ImportId"":""QID1713026527""}","{""ImportId"":""QID1713026528""}","{""ImportId"":""QID1713026529""}","{""ImportId"":""QID1713026530""}","{""ImportId"":""QID1713026531""}"
2021-10-13 10:42:45,2021-10-13 10:45:49,IP Address,40.132.83.13,100,183,True,2021-10-13 10:45:49,R_RLB08zEDcrT5SSt,,,,,41.6381072998046875,-93.62030029296875,anonymous,EN,Yes,6-10 years,,,,,,Yes,Own,,Single family home,,"$1,500-1,999",Good,Yes,Yes,Not enough of the right home styles,,,Yes,1,4,3,2,5,,Competition.,Incentivize builders to put up spec homes.,Male,26 - 40,2,1,White or Caucasian,"$100,000-$149,999"
2021-10-13 11:09:24,2021-10-13 11:16:49,IP Address,174.242.225.177,100,445,True,2021-10-13 11:16:49,R_1jkuMzoDs2Imh81,,,,,41.2581024169921875,-95.93250274658203125,anonymous,EN,,More than 10 years,,,,,,,,,,,,,,,Other,Home prices are too high,,No,4,2,1,3,5,,Real estate agents setting home prices too high. They do not match well with what assessors and mortgage companies price them at,Imp,Male,,2,2,White or Caucasian,"$80,000-$99,999"
2021-10-13 11:10:53,2021-10-13 11:21:49,IP Address,40.132.83.13,100,655,True,2021-10-13 11:21:49,R_1cTbkJYB2eI7uEh,,,,,41.6381072998046875,-93.62030029296875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,Less than $300,Good,No,Yes,Do not qualify for a home mortgage,,,No,3,1,2,4,5,,"Improving the housing we already have? If that is the question, money and homeowners that fall in that in between area that make too much to qualify for programs but not enough to afford making improvements. If the question is about adding housing then I would say lack of builders willing to take a risk and build affordable homes without a buyer in place which is understandable. ",,Female,41-55,1,0,White or Caucasian,"$40,000-$59,999"
2021-10-13 11:58:51,2021-10-13 12:06:34,IP Address,40.132.83.13,100,463,True,2021-10-13 12:06:35,R_262OH7EGjKzL3Rl,,,,,41.6381072998046875,-93.62030029296875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,Less than $300,Good,No,Yes,Not enough quality housing,,,No,4,2,3,1,5,,"For residents needing to update their housing, they are hesitant to participate in City sponsored grants as they do not want to involvement with local government.  Just an overall distrust of government as a whole.  Also, a lack of building lots for new home construction.","Find other ways to get grants for those needing to fix their homes without direct City involvement.

Work to get more affordable building lots for single family homes.",Female,56-70,2,0,White or Caucasian,"$100,000-$149,999"
2021-10-13 12:03:51,2021-10-13 12:08:44,IP Address,98.21.86.46,100,292,True,2021-10-13 12:08:44,R_3nOYqR06amuw4qC,,,,,41.6891937255859375,-93.05339813232421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$1,500-1,999",Excellent,Yes,Yes,Do not qualify for a home mortgage,,,Yes,4,1,3,2,5,,"Building codes too restrictive, not cost effective",A new large mobile home park would be a big help,Male,56-70,3,0,White or Caucasian,"$60,000-$79,999"
2021-10-13 12:08:11,2021-10-13 12:11:23,IP Address,98.22.15.190,100,191,True,2021-10-13 12:11:23,R_1hKk9zjltGW9dpp,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,Less than 1 year,,,,,,Yes,Own,,Single family home,,"$1,200-$1,499",Excellent,No,Yes,Not enough of the right home styles,,,No,4,3,1,2,5,,,,Male,26 - 40,2,1,White or Caucasian,"$80,000-$99,999"
2021-10-13 12:30:22,2021-10-13 12:33:49,IP Address,3.217.29.203,100,207,True,2021-10-13 12:33:50,R_RUFTOErvBknZ0M9,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$900-$1,199",Excellent,Yes,Yes,Not enough affordable housing,,Independent Living Complex,No,4,1,2,3,5,,No long term vision for housing by the city and no economic development by the city,Housing incentive and also bring more new businesses to town.,Female,41-55,1,0,White or Caucasian,"$100,000-$149,999"
2021-10-13 12:29:33,2021-10-13 12:39:30,IP Address,107.167.194.190,100,596,True,2021-10-13 12:39:30,R_1l60WC5fb5DrxN4,,,,,41.7386932373046875,-92.7332000732421875,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$2,000 or more",Excellent,No,Yes,Other,"Property cost. Property tax, school system, too many queer’s ",Independent Living Complex,Yes,4,5,2,1,3,Control taxes,"Development costs, high taxes","Rid the city council and school board of Grinnell Collage puppets. Elect people who have a spine. ",Male,56-70,2,0,White or Caucasian,"$150,000-$199,999"
