StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q36,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_10_TEXT,Q33,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_6,Q18_5,Q18_5_TEXT,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q33 - Topics,Q33 - Parent Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in Harrison County?,How long have you lived in  Harrison County?,Where is your primary residence in Harrison County?,What is the main reason you do not live in Harrison County? Select all that apply. - Selected Choice,What is the main reason you do not live in Harrison County? Select all that apply. - Other - Text,What would help you decide to move to Harrison County if you do not currently live here? Select all that apply.,Are you interested in another type of home in Harrison County? Select all that apply.,What price range of house would you be looking for if you wanted to purchase a home in Harrison County?,Do you work in Harrison County?,Which of the following best describes your living arrangement? - Selected Choice,Which of the following best describes your living arrangement? - Other - Text,What type of structure do you live in? - Selected Choice,What type of structure do you live in? - Other - Text,How much do you spend monthly in housing (mortgage or rent plus utilities)?,How would you rate the condition of your dwelling in Harrison County?,Would you participate in an incentive program to help homeowners and landlords make exterior improvements to their home?,Would you support a rental property registration and inspection program?,"In your experience, what is the main barrier to home ownership in Harrison County? - Selected Choice","In your experience, what is the main barrier to home ownership in Harrison County? - Other - Text",Would you or a family member be interested in living in the following housing options in the future if built in Harrison County? Check all that apply.,"In considering purchasing a home, what features are most important to you: - Connection to city water","In considering purchasing a home, what features are most important to you: - Connection to public sewer system (not septic tank)","In considering purchasing a home, what features are most important to you: - A large lot","In considering purchasing a home, what features are most important to you: - A basement","In considering purchasing a home, what features are most important to you: - Location outside of town","In considering purchasing a home, what features are most important to you: - School district","In considering purchasing a home, what features are most important to you: - Cell phone service","In considering purchasing a home, what features are most important to you: - Low maintenance yard","In considering purchasing a home, what features are most important to you: - Fast internet service (broadband)","In considering purchasing a home, what features are most important to you: - Other","In considering purchasing a home, what features are most important to you: - Other - Text","What community amenities (for example: parks, restaurants, library) are important to you in choosing a location to live?",Would you be interested in learning more about an investor group for housing projects in Harrison County?,What should be the top priorities for improving housing in Harrison County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Building more rental housing units,What should be the top priorities for improving housing in Harrison County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Create a program of assistance and incentives to improve existing housing,What should be the top priorities for improving housing in Harrison County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Improve infrastructure and amenities for current residents,What should be the top priorities for improving housing in Harrison County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Build more new single family housing units,What should be the top priorities for improving housing in Harrison County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Increase employment opportunities and access to better paying jobs,What should be the top priorities for improving housing in Harrison County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other,What should be the top priorities for improving housing in Harrison County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other - Text,What are the SPECIFIC ACTIONS that we as a community should take to improve access to quality and affordable housing in Harrison County ?,What is your sex or gender?,What is your age?,"How many adults (18 +) live in the household, including yourself?",How many children (0-17) live in the household?,What race or ethnicity do you consider yourself to be?,What income bracket does your household fall under? (Include the income of all who contribute toward the expenses of the household.),Q33 - Topics,Q33 - Parent Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID39""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_5_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_3_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_5_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_5_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID35_5""}","{""ImportId"":""QID35_6""}","{""ImportId"":""QID35_7""}","{""ImportId"":""QID35_8""}","{""ImportId"":""QID35_9""}","{""ImportId"":""QID35_10""}","{""ImportId"":""QID35_10_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID36_TEXT_7c719c3a_dul58uym4sb0Topics""}","{""ImportId"":""QID36_TEXT_7c719c3a_dul58uym4sb0ParTopics""}"
2021-05-18 12:35:52,2021-05-18 12:42:55,IP Address,98.21.23.254,100,423,True,2021-05-18 12:42:56,R_1QF8dPmV1uTl2pn,,,,,40.9965972900390625,-92.31569671630859375,anonymous,EN,Yes,More than 10 years,Dunlap,,,,"Would be interested in an existing single-family home,Would be interested in senior housing","$250,000-$325,000",Yes,Own,,Single family home,,$500-$699,Fair,Yes,Yes,Not enough affordable housing,,"Duplex,Townhome,Condo,Single family home,Independent Living Complex,Assisted Living Complex",Extremely important,Extremely important,Important,Extremely important,Not at all important,Not at all important,Extremely important,Very important,Extremely important,,,"library, shopping, senior senter, churches, gas station/convenience store, grocery store, clinic",No,3,1,2,4,5,6,,"Programs for owner occupied rehab assistance,  infrastructure improvement, new housing and rental options that are affordable.",Female,41-55,3,0,White or Caucasian,"$60,000-$79,999",Unknown,
2021-05-18 12:52:16,2021-05-18 12:56:28,IP Address,216.51.195.105,100,252,True,2021-05-18 12:56:28,R_9piySeSYbZ9S8lX,,,,,41.4037933349609375,-95.013702392578125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18 13:40:46,2021-05-18 13:47:33,IP Address,174.198.84.223,100,406,True,2021-05-18 13:47:33,R_2qlqinnDcEgIk2p,,,,,41.276702880859375,-96.24340057373046875,anonymous,EN,Yes,More than 10 years,Woodbine,,,,Would be interested in down-sizing,"$175,000-$250,000",Yes,Own,,Single family home,,$700-$899,Excellent,Yes,Yes,Not enough of the right home styles,,"Duplex,Condo,Single family home",Important,Not at all important,Not at all important,Not at all important,Important,Slightly important,Very important,Important,Very important,,,,Yes,4,3,5,1,2,6,,,Male,56-70,2,0,White or Caucasian,"$60,000-$79,999",,
2021-05-18 14:16:46,2021-05-18 14:25:39,IP Address,216.203.119.166,100,533,True,2021-05-18 14:25:40,R_2TY4mbU88uhsJOF,,,,,41.7855072021484375,-96.2301025390625,anonymous,EN,Yes,6-10 years,Little Sioux,,,,"Would be interested in up-sizing,Would be interested in an existing single-family home","Less than $100,000",No,Own,,Single family home,,$700-$899,Good,Yes,Yes,Not enough quality housing,,Single family home,Not at all important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,Important,Extremely important,,,"Park, gas station, general store, restaurant, post office",Yes,4,1,2,5,3,6,,"There are so many vacant houses that need torn down or fixed up. Since I’ve lived in my house for the last 10 years, 2 neighbors have passed away and they’re houses and property has sat and rotted and overgrown. A third neighbor just went to a nursing home and now that house is the same way. My final neighbor is on drugs and has a crackhead property full of junk. My house is a nice house and now no one would ever buy it for what it’s worth because no one takes care of vacant homes and they stay vacant for years. ",Female,26 - 40,2,2,White or Caucasian,"$100,000-$149,999",Unknown,
2021-05-18 14:30:30,2021-05-18 14:40:52,IP Address,69.66.222.242,100,622,True,2021-05-18 14:40:52,R_1rugTGjK9jZN8Rp,,,,,41.9618072509765625,-92.58660125732421875,anonymous,EN,Yes,More than 10 years,Logan,,,,"Would be interested in up-sizing,Would be interested in a new construction single-family home,Would be interested in an existing single-family home","$175,000-$250,000",Yes,Own,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Not enough of the right home styles,,Single family home,Slightly important,Slightly important,Very important,Important,Slightly important,Extremely important,Extremely important,Slightly important,Extremely important,,,"Athletic facilities, parks, multiple types/choices of restaurants, strong community bond, strong support from school in the community, communities that support their local businesses, and a community that offers fun events and activities for their residents to have a chance to socialize.",Yes,4,3,5,1,2,6,,"Be more vocal within our communities about the need for improving our housing situation.  Get local leaders involved (school administrators/board members, bankers, council members, respected business owners).  The louder the voice, the harder it is to ignore.",Male,26 - 40,2,3,White or Caucasian,"$80,000-$99,999",Unknown,
2021-05-18 14:38:51,2021-05-18 14:50:56,IP Address,198.14.217.209,100,725,True,2021-05-18 14:50:57,R_3PdyTdoku4hqOcK,,,,,41.0247955322265625,-93.313201904296875,anonymous,EN,Yes,More than 10 years,Logan,,,,Not interested in a different home,,Yes,Own,,Single family home,,"$1,500-1,999",Excellent,Yes,Yes,Not enough of the right home styles,,"Duplex,Townhome,Single family home,Assisted Living Complex",Important,Important,Important,Extremely important,Slightly important,Important,Extremely important,Important,Extremely important,,,,Yes,5,3,4,1,2,6,,Increase the community footprint. Aquire land,Male,26 - 40,2,2,White or Caucasian,"$200,000 or more",,
2021-05-18 15:17:25,2021-05-18 15:41:36,IP Address,198.14.221.211,100,1450,True,2021-05-18 15:41:36,R_215Inx2FUaiBumX,,,,,41.3249053955078125,-92.1938018798828125,anonymous,EN,Yes,More than 10 years,Woodbine,,,,Would be interested in down-sizing,"$250,000-$325,000",Yes,Own,,Single family home,,"$1,200-$1,499",Excellent,No,Yes,Not enough affordable housing,,Independent Living Complex,Important,Important,Important,Important,Not at all important,Very important,Very important,Slightly important,Extremely important,,,"health and wellness access, walking trails, a vibrant downtown with restaurants, a library, health clinic grocery volunteer opportunities, churches",Yes,3,6,1,2,5,4,downtown upperstory housing done well,Local government must actively participate with nonprofit development to create a sensible and practical plan instituting incentives and information necessary for interested developers -  to make a difference. Right now not on same page.,Female,56-70,2,0,Don’t wish to answer,"$200,000 or more",Unknown,
2021-05-18 16:00:17,2021-05-18 16:15:23,IP Address,198.14.251.7,100,905,True,2021-05-18 16:15:23,R_TikfMEKVeP9L5vz,,,,,41.0247955322265625,-93.313201904296875,anonymous,EN,Yes,More than 10 years,Mondamin,,,,Not interested in a different home,"$175,000-$250,000",Retired,Own,,Single family home,,$300-$499,Excellent,Yes,Yes,Not enough quality housing,,"Duplex,Townhome,Condo,Single family home,Independent Living Complex",Slightly important,Important,Important,Slightly important,Slightly important,Important,Very important,Slightly important,Very important,,,"parks, easy access to major highway, easy access to schools",Yes,2,4,5,1,6,3,demolish unlivable houses,"incentives to landowners to sell land for housing development, demolish delipidated buildings to free lots for building ",Male,56-70,2,0,Don’t wish to answer,"$60,000-$79,999",Unknown,
