StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q8,Q9,Q10,Q11,Q12,Q19,Q21,Q13,Q14,Q15,Q15_7_TEXT,Q16,Q17,Q17_5_TEXT,Q18,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_5_TEXT,Q23,Q24,Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in Ida Grove?,How long have you lived in Ida Grove?,Which of the following best describes your living arrangement?,What type of structure do you live in?,How much do you spend monthly in housing (mortgage or rent plus utilities)?,How would you rate the condition of your dwelling in Ida Grove?,Would you participate in an incentive program to help homeowners and landlords make exterior improvements to their homes?,Would you support a program to register residential rental properties with the city?,Do you work in Ida Grove?,How long is your commute to work?,What is the main reason why you do not live in Ida Grove? - Selected Choice,What is the main reason why you do not live in Ida Grove? - Other - Text,What would help you decide to move to Ida Grove? (check all that apply),"In your experience, what is the main barrier to home ownership in Ida Grove? - Selected Choice","In your experience, what is the main barrier to home ownership in Ida Grove? - Other - Text",Would you be interested in learning more about an investor group for housing projects in Ida Grove?,What should be the top priorities for improving housing in Ida Grove? (Rank in order of importance with 1 being the most important) - Building more rental housing units,What should be the top priorities for improving housing in Ida Grove? (Rank in order of importance with 1 being the most important) - Create a program of assistance and incentives to improve existing housing units,What should be the top priorities for improving housing in Ida Grove? (Rank in order of importance with 1 being the most important) - Improve infrastructure and amenities for current residents,What should be the top priorities for improving housing in Ida Grove? (Rank in order of importance with 1 being the most important) - Build more new single family housing units,What should be the top priorities for improving housing in Ida Grove? (Rank in order of importance with 1 being the most important) - Other,What should be the top priorities for improving housing in Ida Grove? (Rank in order of importance with 1 being the most important) - Other - Text,"What might make it difficult for us as a community to improve housing in Ida Grove? (Please go deeper than ""lack of time, people, and money."" Instead, think about why these resources may be lacking, or what you as a community could accomplish if resources were not an issue)",What are the SPECIFIC actions that we as a community should take to improve access to quality and affordable housing in Ida Grove?,What is your sex or gender?,What is your age?,"How many adults (18+) live in the household, including yourself?",How many children (0 - 17) live in the household?,What race or ethnicity do you consider yourself? - Selected Choice,What race or ethnicity do you consider yourself? - Other - Text,What income bracket does your household fall under? (include the income of all who contribute towards the expenses of the household)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_7_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_5_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_5_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID6""}"
2020-06-17 10:31:58,2020-06-17 10:33:35,IP Address,207.199.194.81,100,96,True,2020-06-17 10:33:35,R_11c5XaPeWsiMi1d,,,,,42.5072021484375,-95.28119659423828125,anonymous,EN,No,,,,,,,,Yes,,I own a home elsewhere,,,,,,,,,,,,,,,,,,,,
2020-06-17 13:59:46,2020-06-17 14:44:33,IP Address,50.120.255.2,100,2687,True,2020-06-17 14:44:34,R_3oMa2jLiIQ4LjyF,,,,,42.497100830078125,-95.57160186767578125,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Excellent,No,Yes,Yes,,,,,Housing quality if poor,,Yes,4,2,1,3,,,"There is available space within Ida Grove city limits for additional housing. The City lacks the necessary funds to put in streets, sewer, etc. to make the development happen. Are there grants or programs for the city to take advantage of? Otherwise, raising real estate taxes are necessary. No one wants their taxes raised, I understand that. It is a good trade to have everyone pay a little more in property taxes and have streets in a good state of repair. If the city has improvements to streets and other infrastructure laid out in the budget, and then communicate it to the residents exactly where this additional money is going, they will realize it is much needed and will see the results and that it improves the quality of life in Ida Grove. City or Ida County Economic Development can create an incentive to have residents participate in a clean up day or clean up week. Perhaps no fee to have debris picked up at the curb, give incentives to purchase paint for house, garage, fence, etc. Make information available from the utilities if there are incentives for heating & cooling upgrades, window replacement, siding, insulation, etc. ","City Clerk to apply for all types of grants available to cities for housing. Ida County Economic Development group develop grants for residents to apply for, not just the non-profit organizations. ",Female,56 -70,2,0,White or Caucassian,,"$100,000 or more"
2020-06-17 08:27:10,2020-06-18 09:49:58,IP Address,173.22.63.231,100,91367,True,2020-06-18 09:49:58,R_CdfF8IhiCjgIrWV,,,,,41.6244049072265625,-93.669403076171875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 09:50:23,2020-06-18 09:51:51,IP Address,173.22.63.231,100,87,True,2020-06-18 09:51:51,R_DTTtqa9fadKGXHH,,,,,41.6244049072265625,-93.669403076171875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 09:52:01,2020-06-18 09:52:43,Spam,173.22.63.231,100,41,True,2020-06-18 09:52:43,R_eKdikwOmofwgyKB,,,,,41.6244049072265625,-93.669403076171875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 09:46:17,2020-06-18 09:53:35,IP Address,100.42.95.156,100,438,True,2020-06-18 09:53:36,R_tWMX0DW7srDBATD,,,,,42.648406982421875,-95.19640350341796875,anonymous,EN,Yes,1 - 5 years,Own,Single-family home,$700 - $899,Fair,Yes,No,Yes,,,,,Not enough of the right home styles,,Yes,4,1,2,3,,,,,Male,26 - 40,2,1,White or Caucassian,,"$60,000 - $79,999"
2020-06-18 09:44:59,2020-06-18 09:56:32,IP Address,66.172.251.104,100,693,True,2020-06-18 09:56:33,R_1NtqOURCUTP0zmQ,,,,,42.339996337890625,-95.46450042724609375,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Fair,Yes,Yes,No,Less than 30 minutes,,,,Other,I don't know.,No,,,,,1,?,?,?,Female,71 +,1,0,White or Caucassian,,"$40,000 - $59,999"
2020-06-18 10:09:57,2020-06-18 10:13:29,IP Address,184.83.39.50,100,212,True,2020-06-18 10:13:30,R_1GNBtWwXwMxv3rd,,,,,43.476593017578125,-96.7052001953125,anonymous,EN,Yes,10+ years,Own,Single-family home,Less than $300,Excellent,Yes,Yes,Retired,,,,,Not enough affordable housing,,No,4,2,3,1,,,Low wages at our manufacturing plants,"No property taxes for a period of time, City incentives for contractors to build, city buy up properties that are dilapidated and sell cheaply to builders",Female,71 +,2,0,White or Caucassian,,"$80,000 - $99,999"
