StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_5_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in Knoxville?,How long have you lived in Knoxville?,What is the main reason you do not live in Knoxville? Select all that apply. - Selected Choice,What is the main reason you do not live in Knoxville? Select all that apply. - Other - Text,What would help you decide to move to Knoxville if you do not currently live here? Select all that apply.,"Thinking about your future housing needs, what type of housing in Knoxville would interest you if you chose to move? Select all that apply.",What price range of house would you be looking for if you wanted a different home in Knoxville or were considering relocating to Knoxville?,Do you work in Knoxville?,Which of the following best describes your living arrangement? - Selected Choice,Which of the following best describes your living arrangement? - Other - Text,What type of structure do you live in? - Selected Choice,What type of structure do you live in? - Other - Text,How much do you spend monthly in housing (mortgage or rent plus utilities)?,How would you rate the condition of your dwelling?,Would you participate in an incentive program to help homeowners and landlords make exterior improvements to their home?,Would you support a rental property registration and inspection program with the city?,"In your experience, what is the main barrier to home ownership in Knoxville? - Selected Choice","In your experience, what is the main barrier to home ownership in Knoxville? - Other - Text",Would you or a family member be interested in living in the following housing options in the future if built in Knoxville? Check all that apply.,Would you be interested in learning more about an investor group for housing projects in Knoxville?,What should be the top priorities for improving housing in Knoxville? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Building more rental housing units,What should be the top priorities for improving housing in Knoxville? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Create a program of assistance and incentives to improve existing housing,What should be the top priorities for improving housing in Knoxville? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Improve infrastructure and amenities for current residents,What should be the top priorities for improving housing in Knoxville? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Build more new single family housing units,What should be the top priorities for improving housing in Knoxville? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other,What should be the top priorities for improving housing in Knoxville? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other - Text,"What is holding Knoxville back from improving housing options, in your opinion?",What are the SPECIFIC ACTIONS that we as a community should take to improve access to quality and affordable housing in Knoxville?,What is your sex or gender?,What is your age?,"How many adults (18 +) live in the household, including yourself?",How many children (0-17) live in the household?,What race or ethnicity do you consider yourself to be?,What income bracket does your household fall under? (Include the income of all who contribute toward the expenses of the household.)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1713504061""}","{""ImportId"":""QID1713504073""}","{""ImportId"":""QID1713504070""}","{""ImportId"":""QID1713504070_5_TEXT""}","{""ImportId"":""QID1713504071""}","{""ImportId"":""QID1713504074""}","{""ImportId"":""QID1713504075""}","{""ImportId"":""QID1713504076""}","{""ImportId"":""QID1713504052""}","{""ImportId"":""QID1713504052_3_TEXT""}","{""ImportId"":""QID1713504053""}","{""ImportId"":""QID1713504053_5_TEXT""}","{""ImportId"":""QID1713504054""}","{""ImportId"":""QID1713504055""}","{""ImportId"":""QID1713504056""}","{""ImportId"":""QID1713504057""}","{""ImportId"":""QID1713504058""}","{""ImportId"":""QID1713504058_5_TEXT""}","{""ImportId"":""QID1713504072""}","{""ImportId"":""QID1713504059""}","{""ImportId"":""QID1713504060_1""}","{""ImportId"":""QID1713504060_2""}","{""ImportId"":""QID1713504060_3""}","{""ImportId"":""QID1713504060_4""}","{""ImportId"":""QID1713504060_5""}","{""ImportId"":""QID1713504060_5_TEXT""}","{""ImportId"":""QID1713504062_TEXT""}","{""ImportId"":""QID1713504063_TEXT""}","{""ImportId"":""QID1713504064""}","{""ImportId"":""QID1713504065""}","{""ImportId"":""QID1713504066""}","{""ImportId"":""QID1713504067""}","{""ImportId"":""QID1713504068""}","{""ImportId"":""QID1713504069""}"
2022-01-12 14:21:37,2022-01-12 14:26:31,IP Address,173.27.165.13,100,294,True,2022-01-12 14:26:31,R_3CPH90g80pT34MW,,,,,41.314300537109375,-93.5879974365234375,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$1,500-1,999",Excellent,Yes,Yes,Not enough quality housing,,,Yes,4,1,3,2,5,,Lack of inventory,,Female,26 - 40,2,1,White or Caucasian,"$200,000 or more"
2022-01-12 14:22:25,2022-01-12 14:28:15,IP Address,98.23.237.76,100,350,True,2022-01-12 14:28:15,R_28UNSHX8xuPCfff,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,Yes,1-5 years,,,,,,Yes,Own,,Single family home,,"$900-$1,199",Good,Yes,Yes,Not enough affordable housing,,,Yes,3,4,1,2,5,,"Things for people to do on nights and weekends is making people not want to build in Knoxville ","Affordable lot values in the VA district so people can afford to build and the lots don’t just sit empty for years ",Male,18 - 25,2,0,White or Caucasian,"$80,000-$99,999"
2022-01-12 14:28:23,2022-01-12 14:35:41,IP Address,173.27.167.83,100,438,True,2022-01-12 14:35:41,R_6llRwbPhtOsTFOF,,,,,41.314300537109375,-93.5879974365234375,anonymous,EN,Yes,1-5 years,,,,,,Yes,Rent,,Single family home,,"$900-$1,199",Excellent,Yes,Yes,Not enough affordable housing,,Duplex,No,4,3,2,1,5,,"Nothing now that the VA project is underway. ","More single family homes, grants for home ownership, down payment assistance ",Male,26 - 40,2,3,White or Caucasian,"$60,000-$79,999"
2022-01-12 14:40:10,2022-01-12 14:54:29,IP Address,205.196.241.229,100,858,True,2022-01-12 14:54:29,R_3EMf2mmDx5pNsgK,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$900-$1,199",Excellent,Yes,Yes,Not enough quality housing,,Duplex,Yes,2,4,3,1,5,,"Availability of land (soon to be resolved by the VA).
Lack of local developers *of the scale needed* to meet demand.
Probably a lack of financial literacy among a segment of the population that earns a good living but still doesn't qualify for traditional financing.
Landlords (and property owners, generally) who don't improve their properties over time; vicious cycle - lower rents mean fewer improvements, mean lower rents...","QUALITY:
Enforce the codes we already have on the books and enact new codes that will help address issues of blight, absenteeism, etc. If that means hiring more help for the Code Enforcement area, so be it.
With or without outside funding: the City could provide incentives, Challenge Grants, etc. to entice property owners to improve their properties. Targeted tax abatements in the oldest sections of town, Diamond Vogel paint grants, 'Rock the Block' neighborhood clean-up events, etc.
AFFORDABLE:
Work with current and prospective property owners to secure grant funding, Workforce Tax Credits, etc.  
",Male,26 - 40,1,0,White or Caucasian,"$80,000-$99,999"
2022-01-12 14:56:36,2022-01-12 15:02:15,IP Address,98.16.115.229,100,339,True,2022-01-12 15:02:16,R_3MSdTGBO20d3Drf,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Do not qualify for a home mortgage,,Independent Living Complex,Yes,3,2,1,4,5,,Price of houses,"Homeowner assistance to make the necessary repairs/improvements to current houses. Program to help get into houses of their own, not just rentals. ",Female,41-55,2,0,White or Caucasian,"$60,000-$79,999"
2022-01-12 15:01:43,2022-01-12 15:04:29,IP Address,205.196.241.229,100,165,True,2022-01-12 15:04:29,R_2RWIzS1bac1WiKw,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,Less than $300,Good,No,No,Not enough affordable housing,,,No,,,,,,,,,Female,56-70,2,0,White or Caucasian,"$100,000-$149,999"
2022-01-12 15:02:07,2022-01-12 15:08:55,IP Address,205.196.241.229,100,408,True,2022-01-12 15:08:55,R_3lSVd0JgzuuAytL,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,$700-$899,Excellent,Yes,Yes,Do not qualify for a home mortgage,,,Yes,4,2,1,3,5,,Need nice homes not low income that people can afford,Make people take care of their properties.  No one wants to buy or build here when you have crap houses everywhere because no one wants to take care of them.,Female,56-70,2,0,White or Caucasian,"$150,000-$199,999"
2022-01-12 15:03:56,2022-01-12 15:09:30,IP Address,205.196.241.229,100,333,True,2022-01-12 15:09:30,R_2uqwanVf2vKZsA3,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,No,,Other,,More homeownership options,Not interested in a different home,"$100,000-$175,000",,,,,,,,,,Not enough affordable housing,,,No,3,4,2,1,5,,"spending money other things ",Build new houses that aren't super fancy with top tier materials. make it affordable,Female,18 - 25,1,0,White or Caucasian,"$20,000-$39,999"
2022-01-12 15:04:49,2022-01-12 15:12:45,IP Address,205.196.241.229,100,475,True,2022-01-12 15:12:45,R_37pdyPqokChl5Ml,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,Yes,More than 10 years,,,,,,Yes,Own,,Single family home,,$300-$499,Excellent,Yes,Yes,Not enough affordable housing,,,No,,,,,,,putting the money in,,Female,56-70,2,0,White or Caucasian,"$100,000-$149,999"
2022-01-12 15:07:38,2022-01-12 15:13:00,IP Address,71.30.73.251,100,322,True,2022-01-12 15:13:00,R_1Lha1SZ5YP4ZwiN,,,,,41.3105926513671875,-93.096099853515625,anonymous,EN,Yes,More than 10 years,,,,,,No,Other,Living with family,Single family home,,Less than $300,Excellent,Yes,Yes,Not enough quality housing,,Independent Living Complex,No,3,1,2,4,5,,"The current state of facilities. We have empty building but they cost too much to rent or to clean the space and make habitable. I’d like to see these existing spaces renovated ",Apartment complexes for younger individuals in their 20s,Female,18 - 25,3,0,White or Caucasian,"$80,000-$99,999"
