StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q36,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_10_TEXT,Q33,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_6,Q18_5,Q18_5_TEXT,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in Mills County?,How long have you lived in  Mills County?,Where is your primary residence in Mills County?,What is the main reason you do not live in Mills County? Select all that apply. - Selected Choice,What is the main reason you do not live in Mills County? Select all that apply. - Other - Text,What would help you decide to move to Mills County if you do not currently live here? Select all that apply.,Are you interested in another type of home in Mills County? Select all that apply.,What price range of house would you be looking for if you wanted to purchase a home in Mills County?,Do you work in Mills County?,Which of the following best describes your living arrangement? - Selected Choice,Which of the following best describes your living arrangement? - Other - Text,What type of structure do you live in? - Selected Choice,What type of structure do you live in? - Other - Text,How much do you spend monthly in housing (mortgage or rent plus utilities)?,How would you rate the condition of your dwelling in Mills County?,Would you participate in an incentive program to help homeowners and landlords make exterior improvements to their home?,Would you support a rental property registration and inspection program?,"In your experience, what is the main barrier to home ownership in Mills County? - Selected Choice","In your experience, what is the main barrier to home ownership in Mills County? - Other - Text",Would you or a family member be interested in living in the following housing options in the future if built in  Mills County? Check all that apply.,"In considering purchasing a home, what features are most important to you: - Connection to city water","In considering purchasing a home, what features are most important to you: - Connection to public sewer system (not septic tank)","In considering purchasing a home, what features are most important to you: - A large lot","In considering purchasing a home, what features are most important to you: - A basement","In considering purchasing a home, what features are most important to you: - Location outside of town","In considering purchasing a home, what features are most important to you: - School district","In considering purchasing a home, what features are most important to you: - Cell phone service","In considering purchasing a home, what features are most important to you: - Low maintenance yard","In considering purchasing a home, what features are most important to you: - Fast internet service (broadband)","In considering purchasing a home, what features are most important to you: - Other","In considering purchasing a home, what features are most important to you: - Other - Text","What community amenities (for example: parks, restaurants, library) are important to you in choosing a location to live?",Would you be interested in learning more about an investor group for housing projects in Mills County?,What should be the top priorities for improving housing in Mills County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Building more rental housing units,What should be the top priorities for improving housing in Mills County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Create a program of assistance and incentives to improve existing housing,What should be the top priorities for improving housing in Mills County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Improve infrastructure and amenities for current residents,What should be the top priorities for improving housing in Mills County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Build more new single family housing units,What should be the top priorities for improving housing in Mills County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Increase employment opportunities and access to better paying jobs,What should be the top priorities for improving housing in Mills County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other,What should be the top priorities for improving housing in Mills County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other - Text,What are the SPECIFIC ACTIONS that we as a community should take to improve access to quality and affordable housing in Mills County ?,What is your sex or gender?,What is your age?,"How many adults (18 +) live in the household, including yourself?",How many children (0-17) live in the household?,What race or ethnicity do you consider yourself to be?,What income bracket does your household fall under? (Include the income of all who contribute toward the expenses of the household.)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID39""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_5_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_3_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_5_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_5_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID35_5""}","{""ImportId"":""QID35_6""}","{""ImportId"":""QID35_7""}","{""ImportId"":""QID35_8""}","{""ImportId"":""QID35_9""}","{""ImportId"":""QID35_10""}","{""ImportId"":""QID35_10_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}"
2021-04-30 12:40:41,2021-04-30 12:41:57,IP Address,129.186.251.128,100,75,True,2021-04-30 12:41:57,R_2bJnQRlkVtl4IDb,,,,,42.0514068603515625,-93.69080352783203125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30 20:09:16,2021-04-30 20:11:41,IP Address,173.22.90.124,100,144,True,2021-04-30 20:11:42,R_1jddxC2hPcJ3NHl,,,,,41.6244049072265625,-93.669403076171875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,4,5,6,,,,,,,,
2021-05-10 14:41:59,2021-05-10 14:49:57,IP Address,63.230.40.97,100,477,True,2021-05-10 14:49:57,R_w7VCStvMT1B442l,,,,,41.232696533203125,-96.113800048828125,anonymous,EN,Yes,1-5 years,Glenwood,,,,,"$250,000-$325,000",Yes,Own,,Single family home,,"$1,200-$1,499",Excellent,Yes,Yes,Not enough affordable housing,,Single family home,Not at all important,Not at all important,Very important,Very important,Very important,Very important,Important,Not at all important,Important,,,"Restaurants, grocery, family friendly activities",Yes,4,3,2,1,5,6,,,Female,26 - 40,2,2,White or Caucasian,"$200,000 or more"
2021-05-11 14:54:27,2021-05-11 14:55:21,IP Address,63.230.40.97,100,54,True,2021-05-11 14:55:22,R_yrUWnimRTn9PWxP,,,,,41.232696533203125,-96.113800048828125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12 12:12:16,2021-05-12 12:54:20,IP Address,129.186.251.128,17,2523,False,2021-05-19 12:54:23,R_1JVf3u50DRTn33l,,,,,,,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-20 08:57:11,2021-05-20 09:00:18,IP Address,104.222.93.12,100,186,True,2021-05-20 09:00:18,R_22rI8rte85MUFLd,,,,,41.0457000732421875,-95.7353973388671875,anonymous,EN,No,,,Difficult to find a home to purchase here that suits my family’s needs,,"Better community amenities (parks, community center, library, restaurants)",,"$250,000-$325,000",,,,,,,,,,Not enough affordable housing,,Single family home,Important,Important,Slightly important,Important,Slightly important,Very important,Very important,Very important,Very important,,,"Not enough restaurants in Glenwood.  ",No,4,2,3,5,1,6,,Need more developers that have access to land,Male,26 - 40,3,1,White or Caucasian,"$100,000-$149,999"
2021-05-20 09:06:48,2021-05-20 09:12:33,IP Address,173.26.193.160,100,344,True,2021-05-20 09:12:33,R_Djy9ag3hsCarlzr,,,,,41.0457000732421875,-95.7353973388671875,anonymous,EN,Yes,More than 10 years,Unincorporated Mills County,,,,Not interested in a different home,"$325,000-$400,000",Yes,Own,,Single family home,,Less than $300,Good,Yes,No,Not enough affordable housing,,"Townhome,Condo,Single family home",Extremely important,Slightly important,Important,Extremely important,Extremely important,Extremely important,Extremely important,Important,Extremely important,,,Parks/Trails/Rural water/Broadband,Yes,,,,,,,,"improving infrastructure throughout Mills County. ",Male,41-55,3,4,White or Caucasian,"$100,000-$149,999"
2021-05-20 09:08:56,2021-05-20 09:13:31,IP Address,67.3.189.145,100,275,True,2021-05-20 09:13:32,R_3e1e2EMYGa5bZ5f,,,,,41.237701416015625,-95.9998016357421875,anonymous,EN,Yes,More than 10 years,Glenwood,,,,Not interested in a different home,"$175,000-$250,000",Yes,Rent,,Duplex/Fourplex,,"$900-$1,199",Excellent,Yes,Yes,Not enough affordable housing,,Condo,Extremely important,Very important,Important,Important,Important,Extremely important,Extremely important,Very important,Extremely important,Not at all important,,"Parks, pool, good restaurants",Yes,4,5,1,3,2,6,,,Female,56-70,2,0,White or Caucasian,"$60,000-$79,999"
2021-05-20 10:05:00,2021-05-20 10:22:50,IP Address,208.95.206.162,100,1070,True,2021-05-20 10:22:51,R_2ZUepfOwXMTSSPh,,,,,41.0457000732421875,-95.7353973388671875,anonymous,EN,Yes,More than 10 years,Glenwood,,,,Not interested in a different home,"$325,000-$400,000",Yes,Own,,Single family home,,Less than $300,Excellent,No,Yes,Not enough affordable housing,,"Townhome,Single family home",Extremely important,Very important,Not at all important,Extremely important,Not at all important,Extremely important,Extremely important,Very important,Extremely important,,,"Golf, bike and walking trails, parks, school quality, employment opportunities",Yes,2,5,4,3,1,6,,"Find ways to incentivize and help local developers and builders , develop affordable housing for more people.",Male,56-70,2,0,White or Caucasian,"$200,000 or more"
