Total,TotalM,GEO_ID,NAME
3709,51,0500000US19001,"Adair County, Iowa"
2011,36,0500000US19003,"Adams County, Iowa"
7816,65,0500000US19005,"Allamakee County, Iowa"
6639,30,0500000US19007,"Appanoose County, Iowa"
2988,73,0500000US19009,"Audubon County, Iowa"
11187,74,0500000US19011,"Benton County, Iowa"
58187,177,0500000US19013,"Black Hawk County, Iowa"
12017,89,0500000US19015,"Boone County, Iowa"
10503,98,0500000US19017,"Bremer County, Iowa"
9113,41,0500000US19019,"Buchanan County, Iowa"
8292,95,0500000US19021,"Buena Vista County, Iowa"
6804,45,0500000US19023,"Butler County, Iowa"
5108,124,0500000US19025,"Calhoun County, Iowa"
9519,70,0500000US19027,"Carroll County, Iowa"
6583,53,0500000US19029,"Cass County, Iowa"
8244,54,0500000US19031,"Cedar County, Iowa"
22364,123,0500000US19033,"Cerro Gordo County, Iowa"
5734,115,0500000US19035,"Cherokee County, Iowa"
5702,57,0500000US19037,"Chickasaw County, Iowa"
4325,28,0500000US19039,"Clarke County, Iowa"
8292,80,0500000US19041,"Clay County, Iowa"
9133,84,0500000US19043,"Clayton County, Iowa"
22114,89,0500000US19045,"Clinton County, Iowa"
7068,88,0500000US19047,"Crawford County, Iowa"
37769,68,0500000US19049,"Dallas County, Iowa"
3602,24,0500000US19051,"Davis County, Iowa"
3853,63,0500000US19053,"Decatur County, Iowa"
8108,47,0500000US19055,"Delaware County, Iowa"
18613,72,0500000US19057,"Des Moines County, Iowa"
14048,60,0500000US19059,"Dickinson County, Iowa"
41518,192,0500000US19061,"Dubuque County, Iowa"
4811,91,0500000US19063,"Emmet County, Iowa"
9606,83,0500000US19065,"Fayette County, Iowa"
7571,87,0500000US19067,"Floyd County, Iowa"
4846,42,0500000US19069,"Franklin County, Iowa"
3444,42,0500000US19071,"Fremont County, Iowa"
4546,43,0500000US19073,"Greene County, Iowa"
5587,35,0500000US19075,"Grundy County, Iowa"
5827,61,0500000US19077,"Guthrie County, Iowa"
7199,43,0500000US19079,"Hamilton County, Iowa"
5342,45,0500000US19081,"Hancock County, Iowa"
8193,109,0500000US19083,"Hardin County, Iowa"
6837,80,0500000US19085,"Harrison County, Iowa"
8415,83,0500000US19087,"Henry County, Iowa"
4376,61,0500000US19089,"Howard County, Iowa"
4741,32,0500000US19091,"Humboldt County, Iowa"
3450,47,0500000US19093,"Ida County, Iowa"
7358,45,0500000US19095,"Iowa County, Iowa"
9599,42,0500000US19097,"Jackson County, Iowa"
16337,101,0500000US19099,"Jasper County, Iowa"
7673,116,0500000US19101,"Jefferson County, Iowa"
64901,437,0500000US19103,"Johnson County, Iowa"
8990,85,0500000US19105,"Jones County, Iowa"
4880,32,0500000US19107,"Keokuk County, Iowa"
7526,65,0500000US19109,"Kossuth County, Iowa"
16235,102,0500000US19111,"Lee County, Iowa"
98022,216,0500000US19113,"Linn County, Iowa"
5063,38,0500000US19115,"Louisa County, Iowa"
4199,36,0500000US19117,"Lucas County, Iowa"
5071,45,0500000US19119,"Lyon County, Iowa"
7093,48,0500000US19121,"Madison County, Iowa"
9893,76,0500000US19123,"Mahaska County, Iowa"
14280,118,0500000US19125,"Marion County, Iowa"
16842,144,0500000US19127,"Marshall County, Iowa"
6118,91,0500000US19129,"Mills County, Iowa"
4987,46,0500000US19131,"Mitchell County, Iowa"
4723,56,0500000US19133,"Monona County, Iowa"
4018,44,0500000US19135,"Monroe County, Iowa"
5220,51,0500000US19137,"Montgomery County, Iowa"
18199,81,0500000US19139,"Muscatine County, Iowa"
6691,85,0500000US19141,"O'Brien County, Iowa"
2960,31,0500000US19143,"Osceola County, Iowa"
7190,177,0500000US19145,"Page County, Iowa"
4594,51,0500000US19147,"Palo Alto County, Iowa"
10908,70,0500000US19149,"Plymouth County, Iowa"
3657,149,0500000US19151,"Pocahontas County, Iowa"
204110,322,0500000US19153,"Polk County, Iowa"
40032,122,0500000US19155,"Pottawattamie County, Iowa"
9160,68,0500000US19157,"Poweshiek County, Iowa"
2610,38,0500000US19159,"Ringgold County, Iowa"
5398,36,0500000US19161,"Sac County, Iowa"
74662,179,0500000US19163,"Scott County, Iowa"
5567,107,0500000US19165,"Shelby County, Iowa"
13030,117,0500000US19167,"Sioux County, Iowa"
40663,241,0500000US19169,"Story County, Iowa"
7788,76,0500000US19171,"Tama County, Iowa"
3105,31,0500000US19173,"Taylor County, Iowa"
5937,38,0500000US19175,"Union County, Iowa"
3645,46,0500000US19177,"Van Buren County, Iowa"
16080,94,0500000US19179,"Wapello County, Iowa"
20340,108,0500000US19181,"Warren County, Iowa"
9777,64,0500000US19183,"Washington County, Iowa"
3200,40,0500000US19185,"Wayne County, Iowa"
17056,139,0500000US19187,"Webster County, Iowa"
5197,72,0500000US19189,"Winnebago County, Iowa"
9008,102,0500000US19191,"Winneshiek County, Iowa"
42455,130,0500000US19193,"Woodbury County, Iowa"
3519,31,0500000US19195,"Worth County, Iowa"
6499,53,0500000US19197,"Wright County, Iowa"
