#Borrower_ID,Project_ID,Project_Check_Digit,Latitude,Longitude,State_County_FIPS_Code,Project_Name,Main_Address_Line1,Main_Address_Line2,Main_Address_Line3,City,State_Abbreviation,Zip_Code,Project_Size,Rental_Code,Labor_Housing_Type,Revitilization_Indicator,Tax_Status_Indicator,Date_Tax_Credit_Expires,Profit_Type_Code,Management_Name,Date_Of_Operation,Date_Restrictive_Clause_Expires,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Total_3_Bedroom_Units,Total_4_Bedroom_Units,Total_5_Bedroom_Units,Total_6_Bedroom_Units,Total_Handicapped_Units,Vacant_Units,Rental_Assistance_Units
000123850,01,1,39.537409,-82.430192,39073,LOGAN PLACE APT,1007 HAYDEN PLACE,,,LOGAN,OH,43138,40,FA,0,,Y,8/27/2022,2,PREMIER MGMT LLC,9/17/1992,10/1/2042,16,24,0,0,0,0,0,0,23
000325444,01,3,39.965875,-82.538056,39045,LAKELAND TOWNHOMES,2121 REFUGEE ROAD,,,MILLERSPORT,OH,43046,24,FA,0,,Y,10/28/2035,2,RLJ MANAGEMENT COMPANY INC,1/15/1975,10/28/2045,0,24,0,0,0,0,0,1,19
000346622,03,5,42.107957,-91.25964,19105,ANAMOSA VILLA III,1701 MEADOW RIDGE DR,,,ANAMOSA,IA,52205,48,EL,0,,N,,3,H. PHIL ANDREWS,11/17/1997,11/17/2047,48,0,0,0,0,0,4,2,44
000346622,02,3,42.114243,-91.268775,19105,ANAMOSA VILLA II,211 WILSON CT,,,ANAMOSA,IA,52205,16,EL,0,,N,,3,H. PHIL ANDREWS,5/20/1986,5/20/2006,16,0,0,0,0,0,1,3,14
000346622,01,1,42.115493,-91.268597,19105,ANAMOSA VILLA I,104 WILSON CT,,,ANAMOSA,IA,52205,28,EL,0,,N,,3,H. PHIL ANDREWS,7/24/1979,,24,4,0,0,0,0,0,5,21
000365294,01,9,43.079509,-75.750064,36053,ERIE CANAL HOUSE,172 E NORTH CANAL ST,,,CANASTOTA,NY,13032,6,FA,0,,N,,3,"CRM RENTAL MGMT, INC",9/24/1992,11/8/2037,6,0,0,0,0,0,2,0,6
000437929,01,9,42.215744,-85.794316,26159,CREEKSIDE MANOR,24810 W MCGILLEN ST,,,MATTAWAN,MI,49071,24,EL,0,,Y,3/13/2007,2,KMG PRESTIGE INC,4/23/1992,4/23/2042,24,0,0,0,0,0,2,0,19
000572832,03,0,45.62326,-68.565607,23019,OAK PARK MANOR,26 OAK ST,,,EAST MILLINOCKET,ME,4430,44,EL,0,,N,,3,"C&C REALTY MANAGEMENT , LLC",7/30/1974,12/1/2019,32,12,0,0,0,0,3,2,41
000731074,01,0,48.191105,-93.807333,27071,BIG FALLS SUNVIEW,510 2ND STREET NW, , ,BIG FALLS,MN,56627,20,FA,0,,N,,2,INTEGRITY PROPERTY MANAGEMENT,9/22/1980,9/22/2000,19,1,0,0,0,0,0,6,12
000944029,01,5,32.12434,-96.22735,48349,CROSSING AT OAK GROVE,200 DANIELS DR, , ,KERENS,TX,75144,32,FA,0,,Y,7/31/2044,2,"VGM PROPERTY MANAGEMENT, INC",11/16/1982,7/31/2044,8,24,0,0,0,0,2,3,27
000968989,01,2,30.545697,-87.247271,12033,SUGAR HILL APTS,10155 GUIDY LANE, , ,PENSACOLA,FL,32514,51,FA,0,,Y,12/31/2036,2,FLYNN MANAGEMENT CORPORATION,10/10/1978,,6,37,8,0,0,0,3,5,49
001141537,01,2,44.396072,-68.080083,23009,MILL STREAM HEIGHTS,20 HILLCREST DR,,,WINTER HARBOR,ME,4693,16,EL,0,,N,,3,REALTY RESOURCES MANAGEMENT,10/29/1974,12/1/2017,14,2,0,0,0,0,0,0,16
001167912,01,7,41.6421,-85.42091,18087,LAGRANGE APTS. LHS REAL ESTATE,300 S MOUNTAIN ST,,,LAGRANGE,IN,46761,48,FA,0,,Y,10/1/2003,2,"J. JEROD & ASSOCIATES, INC",10/1/1988,10/1/2008,24,24,0,0,0,0,4,7,43
001263502,01,7,37.746791,-84.840992,21167,CARDINAL MEADOWS C/O WINTERWOOD INC,851 S COLLEGE ST,,,HARRODSBURG,KY,40330,36,EL,0,1,N,,3,WINTERWOOD INC,8/25/1982,8/25/2002,32,4,0,0,0,0,0,1,28
001299494,01,5,43.94051,-90.825562,55081,SUNSET PLACE APTS,421 SOUTH GRACE STREET,,,SPARTA,WI,54656,24,FA,0,,Y,8/1/2002,2,"DAK MANAGEMENT, INC",8/1/1988,8/1/2038,7,15,2,0,0,0,0,0,22
001322044,01,3,40.297503,-87.300743,18171,MEADOW HEIGHTS,109 BROWN ST,,,WILLIAMSPORT,IN,47993,26,FA,0,,Y,12/31/2010,2,IMPERIAL MANAGEMENT,11/1/1994,12/1/2045,16,10,0,0,0,0,0,1,17
001490659,01,5,40.215171,-74.468314,34025,ROOSEVELT SOLAR VILLAGE,1 N VALLEY RD,,,ROOSEVELT,NJ,8555,20,EL,0,,N,,3,CERVELLI MANAGEMENT,8/18/1982,12/18/2044,16,4,0,0,0,0,0,1,0
001554914,01,7,34.452033,-81.881776,45059,TALLWOOD APARTMENTS,113 TALLWOOD DR, , ,CLINTON,SC,29325,40,EL,0,,Y,4/7/2022,2,"CAHEC MANAGEMENT, INC",4/7/1981,4/7/2037,36,4,0,0,0,0,0,0,39
001584232,01,2,31.122223,-84.152793,13205,HERITAGE SQUARE ELD,307 W RAILROAD ST S,,,PELHAM,GA,31779,24,EL,0,,Y,12/31/2023,2,TISHCO PROPERTIES LLC,11/8/1985,10/27/2028,24,0,0,0,0,0,0,2,24
001657616,01,7,39.419274,-88.794366,17173,LAKESHORE APTS SHELBYVILLE,1210 N. BROADWAY,,,SHELBYVILLE,IL,62565,24,FA,0,,N,,2,CARPENTER MGMT CO INC,7/19/1976,3/1/2019,0,24,0,0,0,0,0,0,19
001672068,02,2,48.330479,-116.455856,16017,MILLTOWN APARTMENTS,BOX 1478,,,SANDPOINT,ID,83864,51,FA,0,,Y,12/31/2053,2,WHITEWATER CREEK INC,12/20/2013,12/20/2063,8,31,12,0,0,0,4,2,50
