StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q36,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_10_TEXT,Q33,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_6,Q18_5,Q18_5_TEXT,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in East Pottawattamie County?,How long have you lived in East Pottawattamie County?,Where is your primary residence in East Pottawattamie County?,What is the main reason you do not live in East Pottawattamie County?  Select all that apply. - Selected Choice,What is the main reason you do not live in East Pottawattamie County?  Select all that apply. - Other - Text,What would help you decide to move to East Pottawattamie County if you do not currently live here? Select all that apply.,Are you interested in another type of home in East Pottawattamie County? Select all that apply.,What price range of house would you be looking for if you wanted to purchase a home in East Pottawattamie County?,Do you work in East Pottawattamie County?,Which of the following best describes your living arrangement? - Selected Choice,Which of the following best describes your living arrangement? - Other - Text,What type of structure do you live in? - Selected Choice,What type of structure do you live in? - Other - Text,How much do you spend monthly in housing (mortgage or rent plus utilities)?,How would you rate the condition of your dwelling in East Pottawattamie County?,Would you participate in an incentive program to help homeowners and landlords make exterior improvements to their home?,Would you support a rental property registration and inspection program?,"In your experience, what is the main barrier to home ownership in East Pottawattamie County? - Selected Choice","In your experience, what is the main barrier to home ownership in East Pottawattamie County? - Other - Text",Would you or a family member be interested in living in the following housing options in the future if built in  East Pottawattamie County? Check all that apply.,"In considering purchasing a home, what features are most important to you: - Connection to city water","In considering purchasing a home, what features are most important to you: - Connection to public sewer system (not septic tank)","In considering purchasing a home, what features are most important to you: - A large lot","In considering purchasing a home, what features are most important to you: - A basement","In considering purchasing a home, what features are most important to you: - Location outside of town","In considering purchasing a home, what features are most important to you: - School district","In considering purchasing a home, what features are most important to you: - Cell phone service","In considering purchasing a home, what features are most important to you: - Low maintenance yard","In considering purchasing a home, what features are most important to you: - Fast internet service (broadband)","In considering purchasing a home, what features are most important to you: - Other","In considering purchasing a home, what features are most important to you: - Other - Text","What community amenities (for example: parks, restaurants, library) are important to you in choosing a location to live?",Would you be interested in learning more about an investor group for housing projects in East Pottawattamie County?,What should be the top priorities for improving housing in East Pottawattamie County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Building more rental housing units,What should be the top priorities for improving housing in East Pottawattamie County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Create a program of assistance and incentives to improve existing housing,What should be the top priorities for improving housing in East Pottawattamie County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Improve infrastructure and amenities for current residents,What should be the top priorities for improving housing in East Pottawattamie County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Build more new single family housing units,What should be the top priorities for improving housing in East Pottawattamie County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Increase employment opportunities and access to better paying jobs,What should be the top priorities for improving housing in East Pottawattamie County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other,What should be the top priorities for improving housing in East Pottawattamie County? (Rank in order of importance with 1 being the most important. Click on the statement and drag the statement into the order of importance.) - Other - Text,What are the SPECIFIC ACTIONS that we as a community should take to improve access to quality and affordable housing in East Pottawattamie County ?,What is your sex or gender?,What is your age?,"How many adults (18 +) live in the household, including yourself?",How many children (0-17) live in the household?,What race or ethnicity do you consider yourself to be?,What income bracket does your household fall under? (Include the income of all who contribute toward the expenses of the household.)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID39""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_5_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_3_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_5_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_5_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID35_5""}","{""ImportId"":""QID35_6""}","{""ImportId"":""QID35_7""}","{""ImportId"":""QID35_8""}","{""ImportId"":""QID35_9""}","{""ImportId"":""QID35_10""}","{""ImportId"":""QID35_10_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}"
2021-08-26 08:21:05,2021-08-26 08:23:31,IP Address,67.55.190.251,100,145,True,2021-08-26 08:23:31,R_1o5bJb0YfEqc9Hc,,,,,41.311798095703125,-95.3834991455078125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30 13:22:39,2021-08-30 13:27:40,IP Address,173.19.121.55,100,301,True,2021-08-30 13:27:40,R_3qBD1VgCB0U5L38,,,,,41.4037933349609375,-95.013702392578125,anonymous,EN,Yes,More than 10 years,Avoca,,,,"Would be interested in renting,Would be interested in a new construction single-family home,Would be interested in an existing single-family home","Less than $100,000",No,Rent,,Apartment,,$700-$899,Good,Yes,Yes,Not enough affordable housing,,"Duplex,Townhome,Apartment,Single family home",Important,Important,Slightly important,Important,Slightly important,Important,Important,Slightly important,Important,,,"Parks, restaurants, school",No,1,4,2,5,3,6,,,Female,26 - 40,1,1,White or Caucasian,"$20,000-$39,999"
2021-08-30 13:23:39,2021-08-30 13:29:38,IP Address,67.55.190.251,100,358,True,2021-08-30 13:29:38,R_2R8OozqaY6I56pE,,,,,41.311798095703125,-95.3834991455078125,anonymous,EN,Yes,More than 10 years,Oakland,,,,"Would be interested in down-sizing,Would be interested in a new construction single-family home,Would be interested in an existing single-family home","$175,000-$250,000",Yes,Own,,Single family home,,"$2,000 or more",Excellent,Yes,Yes,Not enough of the right home styles,,Townhome,Extremely important,Extremely important,Very important,Very important,Not at all important,Extremely important,Extremely important,Very important,Extremely important,,,"parks, library; community center ",Yes,4,1,2,5,3,6,,,Female,41-55,2,3,White or Caucasian,"$200,000 or more"
2021-08-30 13:32:26,2021-08-30 13:37:36,IP Address,199.120.116.242,100,310,True,2021-08-30 13:37:36,R_25LoQF2eOTMFgpS,,,,,41.4770965576171875,-95.35269927978515625,anonymous,EN,Yes,More than 10 years,Oakland,,,,Would be interested in a new construction single-family home,"$175,000-$250,000",Yes,Own,,Single family home,,Less than $300,Excellent,Yes,Yes,Not enough quality housing,,Single family home,Important,Important,Very important,Very important,Important,Very important,Very important,Slightly important,Very important,,,restaurants and local stores,No,5,2,4,3,1,6,,,Female,41-55,2,2,White or Caucasian,"$100,000-$149,999"
2021-08-30 13:33:49,2021-08-30 13:41:12,IP Address,67.55.191.17,100,443,True,2021-08-30 13:41:12,R_2rubt6OnFXU89vz,,,,,41.237701416015625,-95.42569732666015625,anonymous,EN,Yes,More than 10 years,Oakland,,,,Would be interested in up-sizing,"Less than $100,000",Yes,Own,,Single family home,,$700-$899,Excellent,Yes,Yes,Not enough affordable housing,,"Townhome,Condo,Single family home",Important,Extremely important,Very important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,,,"Sidewalks! Library and walking paths and parks. grocery store and banks. ",No,4,2,1,3,5,6,,"Use the existing houses. Clean up old houses for use or to tear down and build new single family homes. ",Female,26 - 40,1,0,White or Caucasian,"$20,000-$39,999"
2021-08-30 13:40:40,2021-08-30 13:42:47,IP Address,70.100.140.47,100,126,True,2021-08-30 13:42:47,R_2uIjKaqfDrMh1i3,,,,,41.9138031005859375,-95.48439788818359375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30 13:42:20,2021-08-30 13:45:12,IP Address,70.100.140.1,100,171,True,2021-08-30 13:45:12,R_1NyaQOOu28lg4PP,,,,,41.9138031005859375,-95.48439788818359375,anonymous,EN,Yes,More than 10 years,Oakland,,,,Would be interested in a new construction single-family home,"$175,000-$250,000",Yes,Own,,Single family home,,"$1,200-$1,499",Good,Yes,Yes,Not enough quality housing,,Single family home,Very important,Important,Very important,Important,Very important,Very important,Very important,Not at all important,Very important,,,,No,5,2,3,1,4,6,,,Female,26 - 40,2,1,White or Caucasian,"$60,000-$79,999"
2021-08-30 13:48:15,2021-08-30 13:54:30,IP Address,68.15.227.83,100,375,True,2021-08-30 13:54:31,R_2ruRz5cTSvAyVoi,,,,,41.212005615234375,-96.11009979248046875,anonymous,EN,Yes,More than 10 years,Oakland,,,,Not interested in a different home,"$175,000-$250,000",No,Own,,Single family home,,$700-$899,Fair,Yes,No,Employment opportunities,,Single family home,Extremely important,Extremely important,Very important,Important,Slightly important,Not at all important,Extremely important,Not at all important,Extremely important,,,Restaurants,No,2,5,4,3,1,6,,"Everything stands or falls with jobs that pay a living wage, whether you focus on renters or homeownership.",Male,41-55,2,0,White or Caucasian,"$150,000-$199,999"
