"","fips","fmr0","fmr1","fmr2","fmr3","fmr4","State","county","Year","id","county_name","state_code","state_fips","county_fips","class_fips"
"1",19001,374,416,547,667,746,19,"1","2010",84019001,"Adair County","IA",19,1,"H1"
"2",19001,519,543,715,1023,1035,19,"1","2021",84019001,"Adair County","IA",19,1,"H1"
"3",19001,481,502,664,877,947,19,"1","2019",84019001,"Adair County","IA",19,1,"H1"
"4",19001,534,562,739,1020,1024,19,"001","2022",84019001,"Adair County","IA",19,1,"H1"
"5",19001,438,462,619,768,848,19,"1","2016",84019001,"Adair County","IA",19,1,"H1"
"6",19001,379,422,555,677,757,19,"1","2011",84019001,"Adair County","IA",19,1,"H1"
"7",19001,448,474,630,788,868,19,"1","2017",84019001,"Adair County","IA",19,1,"H1"
"8",19001,497,530,687,966,1000,19,"1","2020",84019001,"Adair County","IA",19,1,"H1"
"9",19001,415,452,612,853,856,19,"1","2015",84019001,"Adair County","IA",19,1,"H1"
"10",19001,465,489,650,815,885,19,"1","2018",84019001,"Adair County","IA",19,1,"H1"
"11",19001,382,426,560,683,764,19,"1","2012",84019001,"Adair County","IA",19,1,"H1"
"12",19001,394,429,581,810,813,19,"1","2013",84019001,"Adair County","IA",19,1,"H1"
"13",19001,419,458,619,863,866,19,"1","2014",84019001,"Adair County","IA",19,1,"H1"
"14",19003,374,416,547,667,746,19,"3","2010",84019003,"Adams County","IA",19,3,"H1"
"15",19003,438,462,619,902,1016,19,"3","2016",84019003,"Adams County","IA",19,3,"H1"
"16",19003,497,522,687,962,1114,19,"3","2020",84019003,"Adams County","IA",19,3,"H1"
"17",19003,531,555,731,909,1035,19,"3","2021",84019003,"Adams County","IA",19,3,"H1"
"18",19003,604,635,835,1032,1132,19,"003","2022",84019003,"Adams County","IA",19,3,"H1"
"19",19003,366,408,536,654,731,19,"3","2012",84019003,"Adams County","IA",19,3,"H1"
"20",19003,410,447,605,753,836,19,"3","2013",84019003,"Adams County","IA",19,3,"H1"
"21",19003,448,488,630,917,1110,19,"3","2017",84019003,"Adams County","IA",19,3,"H1"
"22",19003,481,517,664,960,1163,19,"3","2019",84019003,"Adams County","IA",19,3,"H1"
"23",19003,379,422,555,677,757,19,"3","2011",84019003,"Adams County","IA",19,3,"H1"
"24",19003,465,498,650,945,1098,19,"3","2018",84019003,"Adams County","IA",19,3,"H1"
"25",19003,423,461,624,777,862,19,"3","2014",84019003,"Adams County","IA",19,3,"H1"
"26",19003,402,438,593,739,819,19,"3","2015",84019003,"Adams County","IA",19,3,"H1"
"27",19005,379,417,534,692,736,19,"5","2012",84019005,"Allamakee County","IA",19,5,"H1"
"28",19005,438,462,619,801,856,19,"5","2016",84019005,"Allamakee County","IA",19,5,"H1"
